hog0,hog1,hog2,hog3,hog4,hog5,hog6,hog7,hog8,hog9,hog10,hog11,hog12,hog13,hog14,hog15,hog16,hog17,hog18,hog19,hog20,hog21,hog22,hog23,hog24,hog25,hog26,hog27,hog28,hog29,hog30,hog31,hog32,hog33,hog34,hog35,hog36,hog37,hog38,hog39,hog40,hog41,hog42,hog43,hog44,hog45,hog46,hog47,hog48,hog49,hog50,hog51,hog52,hog53,hog54,hog55,hog56,hog57,hog58,hog59,hog60,hog61,hog62,hog63,hog64,hog65,hog66,hog67,hog68,hog69,hog70,hog71,hog72,hog73,hog74,hog75,hog76,hog77,hog78,hog79,hog80,hog81,hog82,hog83,hog84,hog85,hog86,hog87,hog88,hog89,hog90,hog91,hog92,hog93,hog94,hog95,hog96,hog97,hog98,hog99,hog100,hog101,hog102,hog103,hog104,hog105,hog106,hog107,hog108,hog109,hog110,hog111,hog112,hog113,hog114,hog115,hog116,hog117,hog118,hog119,hog120,hog121,hog122,hog123,hog124,hog125,hog126,hog127,hog128,hog129,hog130,hog131,hog132,hog133,hog134,hog135,hog136,hog137,hog138,hog139,hog140,hog141,hog142,hog143,shp0,shp1,groups,label
0.0214792,0.0427163,0.0414909,0.0174585,0.0796205,0.0180729,0.0360195,0.0461424,0.0508351,0.0639384,0.0749803,0.0420601,0.034615,0.0647634,0.0221046,0.0406156,0.0594036,0.0976983,0.335736,0.230544,0.118736,0.0974203,0.040765,0.0571969,0.0485641,0.335736,0.335736,0.335736,0.177573,0.145307,0.188037,0.285193,0.102856,0.0855001,0.335736,0.335736,0.24835,0.222174,0.148956,0.151266,0.100452,0.084527,0.109688,0.0812361,0.196637,0.102394,0.0633626,0.0497272,0.115182,0.268877,0.268877,0.268877,0.122573,0.0913993,0.133585,0.248614,0.206741,0.167465,0.185902,0.140102,0.0829524,0.0584086,0.192753,0.0425649,0.0280797,0.0486258,0.119672,0.268877,0.268877,0.268877,0.0516575,0.072516,0.130405,0.12389,0.0465111,0.0528265,0.0596595,0.059495,0.138202,0.427034,0.268183,0.152021,0.151845,0.0498963,0.0510511,0.0792911,0.0902867,0.427034,0.427034,0.427034,0.0759819,0.0382245,0.0286371,0.0190521,0.0499156,0.0198351,0.0394107,0.0556652,0.0818103,0.0849663,0.0676717,0.036408,0.0170131,0.0852495,0.0490403,0.0779707,0.0848542,0.0784724,0.0256682,0.0327777,0.0183808,0.0292677,0.0398385,0.0325655,0.289507,0.393475,0.091916,0.0328954,0.0183581,0.0169953,0.0735314,0.156387,0.144381,0.111413,0.168101,0.0499482,0.0251201,0.0128003,0.00951413,0.0152177,0.0195932,0.0263538,0.393475,0.393475,0.0799077,0.0396699,0.0120403,0.0166166,0.0498837,0.0916037,0.0292722,0.393475,0.393475,0.0788948,1,5,ONZE,D
0.103931,0.040889,0.024928,0.0145631,0.0100624,0.0205945,0.0327819,0.210817,0.144744,0.0315182,0.0177452,0.0191906,0.0331904,0.0265102,0.0289967,0.0519042,0.130083,0.0644496,0.168757,0.0875148,0.0543816,0.0334277,0.0206403,0.0448236,0.383092,0.383092,0.371422,0.145024,0.039169,0.100625,0.174966,0.0654912,0.0581185,0.369938,0.383092,0.24305,0.260644,0.211019,0.113881,0.082918,0.023053,0.0285232,0.02595,0.0886323,0.204498,0.15326,0.0735144,0.159228,0.15929,0.149888,0.264909,0.147331,0.0958156,0.205497,0.264909,0.264909,0.145766,0.121756,0.152065,0.0574669,0.121083,0.184089,0.197156,0.0822635,0.0322739,0.120233,0.264909,0.264909,0.264909,0.142421,0.105372,0.116261,0.104486,0.0329259,0.0346057,0.017639,0.0153903,0.0661134,0.171066,0.181568,0.126889,0.127128,0.0647313,0.0214567,0.0332422,0.126639,0.201541,0.510402,0.510402,0.255434,0.130538,0.0467852,0.0573833,0.012256,0.0347028,0.0164282,0.0233809,0.0179574,0.120284,0.175496,0.0778582,0.0484288,0.0343758,0.0936224,0.0601587,0.324859,0.0755556,0.173539,0.0313104,0.0503094,0.0320224,0.0821535,0.144344,0.104131,0.272685,0.118828,0.0889354,0.0249701,0.0234152,0.024874,0.177485,0.33883,0.33883,0.147685,0.0152328,0.0250377,0.0164237,0.00703664,0.025279,0.0448367,0.21181,0.135087,0.33883,0.242174,0.0401374,0.0452079,0.0109242,0.017264,0.112067,0.33883,0.33883,0.286021,0.0456033,0.0450231,2,3,ONZE,D
0.0297004,0.0351045,0.0863126,0.066557,0.0952468,0.0287418,0.0394353,0.0435206,0.0607696,0.0797592,0.0522239,0.0796679,0.103192,0.155559,0.0289226,0.0548414,0.0829431,0.106497,0.342614,0.281744,0.127308,0.0794872,0.0902769,0.0782255,0.0607304,0.0851734,0.342614,0.342614,0.129332,0.119768,0.338649,0.342614,0.056221,0.126605,0.119213,0.342614,0.252518,0.253976,0.248608,0.103175,0.100315,0.091106,0.078139,0.0910829,0.195959,0.0923069,0.0335894,0.0728127,0.0768704,0.211478,0.253976,0.253976,0.189299,0.105184,0.142359,0.221703,0.253976,0.225072,0.170502,0.104261,0.0255659,0.055066,0.140921,0.0612793,0.0294578,0.0737412,0.184563,0.253976,0.253976,0.20887,0.0947811,0.101394,0.280712,0.0545477,0.0426013,0.0363856,0.0766076,0.0137129,0.0540356,0.417876,0.417876,0.253714,0.0846355,0.0495026,0.0219292,0.0382028,0.0235422,0.152691,0.417876,0.417876,0.0818345,0.0799704,0.0477209,0.0213175,0.119819,0.00941867,0.0375461,0.0585584,0.0727333,0.0847285,0.0763501,0.0430953,0.0174833,0.0793859,0.0338159,0.113215,0.138906,0.0923742,0.0380152,0.00862519,0.0210747,0.0287745,0.0166078,0.0180976,0.217922,0.400302,0.144606,0.0143433,0.0275771,0.0336476,0.0480988,0.0651188,0.060862,0.143734,0.400302,0.0772223,0.0137644,0.00575696,0.0112679,0.0144048,0.0184233,0.00944264,0.180516,0.400302,0.154203,0.0208413,0.0235513,0.0243887,0.0342193,0.0292884,0.0185689,0.400302,0.400302,0.150701,1,3,ONZE,D
0.13545,0.0210373,0.0152043,0.00741238,0.00972335,0.00596996,0.0263163,0.0933163,0.200556,0.0519653,0.00961564,0.0265575,0.0439522,0.0427043,0.010469,0.0409807,0.119291,0.111353,0.36329,0.0403775,0.0269216,0.00690077,0.00498872,0.0195546,0.239591,0.36329,0.36329,0.312682,0.0519644,0.0239751,0.111147,0.12911,0.0234494,0.202825,0.36329,0.36329,0.212307,0.233675,0.178206,0.111586,0.052973,0.0140121,0.012907,0.0468588,0.233675,0.110593,0.133142,0.0989543,0.18575,0.182961,0.19856,0.233675,0.112152,0.233675,0.137085,0.233675,0.228772,0.176324,0.219722,0.0797883,0.0469699,0.11125,0.121032,0.101184,0.213569,0.194435,0.222836,0.233675,0.233675,0.0742928,0.0967753,0.129493,0.177203,0.041073,0.0451442,0.041464,0.173815,0.131501,0.0954063,0.0956764,0.206151,0.145967,0.0886165,0.164787,0.123842,0.291168,0.291168,0.291168,0.291168,0.291168,0.147946,0.0224426,0.069922,0.0220156,0.104496,0.10954,0.126959,0.0643915,0.157469,0.0729125,0.0514979,0.16823,0.073988,0.171008,0.230183,0.291168,0.194384,0.119009,0.0167117,0.0161118,0.00819199,0.00476156,0.0472631,0.0316371,0.364691,0.364691,0.0514188,0.0187432,0.022837,0.0112375,0.024537,0.0694127,0.0422667,0.270503,0.28698,0.029696,0.0149697,0.0174264,0.0110229,0.00895921,0.0334376,0.0287903,0.364691,0.364691,0.0323008,0.0229529,0.00971444,0.00323388,0.0126352,0.0606547,0.135938,0.364691,0.364691,0.023733,2,4,ONZE,D
0.139093,0.0385744,0.0284053,0.0204012,0.0497139,0.0230061,0.0496739,0.252069,0.164319,0.0414783,0.0140271,0.00923818,0.020369,0.0315084,0.0210506,0.0825063,0.297021,0.130016,0.164902,0.0404156,0.035333,0.0287787,0.0919091,0.0770585,0.360943,0.360943,0.283695,0.0790052,0.049401,0.0376222,0.0387355,0.0445104,0.0604584,0.360943,0.360943,0.313715,0.251753,0.251753,0.0920916,0.105215,0.0365027,0.0301468,0.0231839,0.12075,0.197315,0.141846,0.146146,0.098035,0.231003,0.251753,0.251753,0.214103,0.151398,0.174592,0.187756,0.251753,0.222647,0.174364,0.0919751,0.0769767,0.0247604,0.136567,0.130203,0.0430594,0.0717324,0.125861,0.251753,0.251753,0.251753,0.0910622,0.0860432,0.0808927,0.199281,0.0589663,0.110448,0.0531146,0.141311,0.107121,0.129918,0.102601,0.192229,0.250035,0.0521742,0.119272,0.191336,0.139405,0.212108,0.337338,0.337338,0.291338,0.165188,0.0574434,0.157608,0.107955,0.186444,0.0767802,0.0882201,0.0629721,0.174588,0.250471,0.133494,0.137438,0.104876,0.125871,0.0670198,0.0906362,0.0537712,0.240405,0.0314929,0.018105,0.0102875,0.0324767,0.0541321,0.0549673,0.386743,0.258442,0.0590061,0.0356652,0.0100437,0.0120747,0.0574224,0.27083,0.256803,0.163636,0.0506667,0.04684,0.0213438,0.0052006,0.00476641,0.0162917,0.0516367,0.0793458,0.386743,0.386743,0.0358732,0.0246484,0.00323835,0.00710853,0.0335379,0.165286,0.197442,0.386743,0.250409,0.0409627,1,3,ONZE,D
0.105377,0.0366713,0.0103787,0.0055008,0.0217985,0.0120892,0.0333714,0.26744,0.307114,0.0297546,0.0206319,0.0276119,0.0544915,0.063299,0.0158364,0.030589,0.270402,0.192494,0.16287,0.0451124,0.0119772,0.0175265,0.0236648,0.0333722,0.285103,0.347628,0.347628,0.126466,0.0617251,0.0302751,0.118409,0.099285,0.0281075,0.23498,0.347628,0.347628,0.237008,0.237008,0.171784,0.103969,0.0866569,0.0200858,0.0145691,0.0878783,0.237008,0.151794,0.18561,0.130711,0.163085,0.237008,0.119179,0.237008,0.122159,0.19435,0.11599,0.237008,0.231477,0.187279,0.231757,0.0765549,0.0313328,0.112234,0.125062,0.103988,0.203982,0.210613,0.201518,0.237008,0.135268,0.119988,0.0785674,0.114125,0.132187,0.0979762,0.130386,0.0301214,0.120153,0.0457076,0.0887774,0.187335,0.193948,0.132931,0.156188,0.165328,0.101219,0.251239,0.27184,0.27184,0.27184,0.224817,0.16255,0.0909405,0.137722,0.0562072,0.147462,0.033384,0.161573,0.204731,0.203939,0.144844,0.142093,0.236528,0.151257,0.27184,0.0622232,0.130788,0.13173,0.136659,0.00911629,0.0111707,0.00354065,0.00882691,0.0346117,0.0346339,0.353361,0.353361,0.0303553,0.0164051,0.0225739,0.0210708,0.0282342,0.0747274,0.0559799,0.318453,0.207931,0.0227594,0.0150962,0.018467,0.00340024,0.0113326,0.0391453,0.0399109,0.353361,0.353361,0.0192139,0.023376,0.0207515,0.00950718,0.0247478,0.106926,0.268609,0.353361,0.350106,0.0242518,2,4,ONZE,D
0.147948,0.0889079,0.129448,0.0367443,0.0545348,0.018164,0.0670399,0.087953,0.143164,0.189601,0.109055,0.0909129,0.0465662,0.086931,0.0115479,0.052068,0.0798208,0.146732,0.340853,0.261536,0.0836435,0.137363,0.130215,0.0621526,0.079292,0.0642318,0.340853,0.340853,0.288471,0.135843,0.175284,0.259421,0.108322,0.0789498,0.0905871,0.340853,0.208825,0.260914,0.198226,0.118845,0.131105,0.0419928,0.0842194,0.0707814,0.145689,0.11473,0.0745337,0.0312526,0.11696,0.244313,0.260914,0.260914,0.125415,0.140896,0.151531,0.260914,0.260914,0.145726,0.209288,0.072341,0.060319,0.0775258,0.147479,0.0736035,0.0500224,0.0586758,0.135973,0.260914,0.260914,0.260914,0.109459,0.0914793,0.353605,0.0830718,0.0718836,0.0390249,0.0413431,0.0317632,0.0695407,0.40249,0.416213,0.308421,0.109202,0.0176698,0.00392082,0.0140681,0.0145367,0.0627033,0.416213,0.416213,0.0742194,0.033824,0.0446688,0.0100954,0.03439,0.0191957,0.0292413,0.0291417,0.0790357,0.074406,0.0242954,0.0209577,0.00937711,0.0338051,0.0464344,0.0636434,0.0880979,0.127394,0.0260507,0.0211296,0.00974216,0.0151496,0.0177519,0.0170968,0.236258,0.406526,0.0891375,0.0244642,0.0209598,0.0354525,0.0310441,0.0598014,0.0541387,0.119751,0.366661,0.0657212,0.0264697,0.00971152,0.00543653,0.00616896,0.0141053,0.0263979,0.264411,0.406526,0.107289,0.0448334,0.0153502,0.0194653,0.0169467,0.0267313,0.0174445,0.406526,0.406526,0.138146,2,3,ONZE,D
0.0507962,0.02006,0.0258391,0.0140445,0.0283141,0.0125306,0.0189734,0.0481808,0.0869787,0.0645251,0.0578797,0.0731031,0.0499691,0.0598129,0.0238295,0.0282543,0.0576695,0.0806981,0.338867,0.227475,0.0630378,0.0192175,0.0299924,0.0349788,0.0591863,0.338867,0.338867,0.253461,0.169627,0.219588,0.23568,0.328344,0.089156,0.0549469,0.338867,0.338867,0.26409,0.216205,0.108902,0.173829,0.102787,0.106929,0.126614,0.101207,0.18147,0.146685,0.0470333,0.0433406,0.145597,0.223488,0.26409,0.26409,0.10694,0.077462,0.152596,0.234647,0.150683,0.207076,0.15636,0.175886,0.0538592,0.112201,0.146426,0.103522,0.0460805,0.053141,0.192284,0.26409,0.26409,0.261589,0.0618342,0.057396,0.116133,0.0355342,0.0615387,0.0295332,0.0252159,0.0358085,0.0943849,0.430878,0.256812,0.194041,0.037977,0.032165,0.0208569,0.0464854,0.0867008,0.430878,0.430878,0.430878,0.0865321,0.0417956,0.0924205,0.0102217,0.0190832,0.0148428,0.0434096,0.0228525,0.0913483,0.101673,0.0160152,0.0175647,0.00279867,0.0485105,0.0800718,0.157906,0.108613,0.144982,0.0362507,0.0436974,0.0211226,0.0398386,0.0380993,0.0569372,0.324519,0.384004,0.0512301,0.0297923,0.0393387,0.0267246,0.0839093,0.149974,0.195221,0.154082,0.10956,0.0238101,0.0348433,0.0249878,0.012318,0.0169135,0.026616,0.0313944,0.384004,0.384004,0.0557388,0.0169329,0.0364402,0.0178028,0.0446498,0.119478,0.0735378,0.384004,0.384004,0.0564722,1,3,ONZE,D
0.120263,0.038152,0.0144941,0.0148055,0.00936706,0.0121672,0.0553307,0.120734,0.219668,0.053407,0.035582,0.0246354,0.0478882,0.0448637,0.0165373,0.0489851,0.103816,0.111845,0.238918,0.0542596,0.024586,0.0332124,0.0192428,0.00561178,0.234013,0.381621,0.381621,0.244735,0.0298023,0.0676771,0.193484,0.145966,0.0194274,0.234097,0.381621,0.381621,0.231597,0.231597,0.211293,0.0564177,0.0771051,0.0319087,0.0320742,0.0745967,0.231597,0.127303,0.105649,0.137778,0.0761271,0.231597,0.219638,0.231597,0.203506,0.176319,0.151222,0.231597,0.231597,0.144047,0.194101,0.128512,0.0736368,0.0692047,0.144192,0.104869,0.158779,0.231486,0.166507,0.231597,0.231597,0.110172,0.0985258,0.111806,0.148822,0.0523606,0.0609119,0.0212953,0.163864,0.149685,0.132264,0.109267,0.213838,0.13319,0.102413,0.103442,0.0814955,0.323632,0.323632,0.323632,0.323632,0.323632,0.127884,0.0319677,0.0534353,0.0296916,0.109501,0.057699,0.171694,0.124718,0.134084,0.0944178,0.0438025,0.0769701,0.0565143,0.181896,0.111104,0.257768,0.180575,0.100798,0.0192968,0.0121255,0.0168686,0.0178121,0.0331805,0.0297331,0.376909,0.376909,0.0261436,0.0201773,0.0170387,0.0173593,0.0340129,0.079505,0.0408598,0.195026,0.215135,0.0284436,0.034103,0.0223623,0.0218472,0.0194204,0.0166398,0.0316571,0.376909,0.376909,0.0187683,0.0359301,0.0301101,0.0175614,0.0269598,0.0810373,0.172234,0.376909,0.376909,0.0345879,2,3,ONZE,D
0.137304,0.0249296,0.0125246,0.00766758,0.0108355,0.00563288,0.0225453,0.0546549,0.312734,0.0990487,0.02983,0.0382806,0.0675574,0.0929573,0.0267578,0.0217834,0.0856117,0.247555,0.333923,0.0344213,0.0290571,0.0156068,0.0224373,0.00286105,0.0819754,0.354909,0.354909,0.354909,0.0254577,0.0783461,0.0582297,0.117208,0.0375005,0.0633446,0.354909,0.354909,0.201285,0.236896,0.234065,0.221794,0.236896,0.089102,0.0464393,0.0758372,0.192868,0.0992428,0.163238,0.114046,0.232518,0.236896,0.236896,0.204775,0.088511,0.140287,0.0779288,0.169981,0.156515,0.166317,0.236896,0.0842609,0.0941444,0.179975,0.0690815,0.0864205,0.0956443,0.120875,0.166959,0.236896,0.231756,0.155217,0.0907663,0.0704672,0.176564,0.0595512,0.052796,0.0175002,0.169897,0.0704043,0.268141,0.179544,0.189069,0.161665,0.0669938,0.0864578,0.0262737,0.268141,0.063629,0.268141,0.200741,0.160302,0.268141,0.0651504,0.097146,0.0385004,0.147995,0.0565769,0.239417,0.129216,0.268141,0.150346,0.10891,0.174526,0.088009,0.268141,0.0413003,0.268141,0.171728,0.165598,0.00426162,0.00366119,0.0103401,0.0114223,0.0121768,0.0105041,0.270627,0.379918,0.215606,0.0266648,0.0159884,0.0202805,0.0185056,0.0214591,0.040159,0.379918,0.379918,0.117985,0.000563594,0.00288251,0.00844304,0.00988274,0.0333217,0.0254746,0.108231,0.229707,0.0419016,0.0101983,0.00558839,0.0126877,0.0138124,0.0834214,0.245201,0.379918,0.379918,0.0284103,2,3,ONZE,D
