hu0,hu1,hu2,hu3,hu4,hu5,hu6,shp0,shp1,groups,label
0.238687,0.0257737,0.00297354,0.000765423,1.15429e-06,0.000122425,3.25915e-08,1,6,DOIS,N
0.248655,0.0303425,0.00335681,0.00107803,2.05031e-06,0.000186898,4.15031e-08,1,4,DOIS,N
0.253133,0.0327859,0.00343044,0.00106349,2.01831e-06,0.000186517,2.29466e-07,1,4,DOIS,N
0.255705,0.0334892,0.00399581,0.00129901,2.95495e-06,0.000234038,1.6466e-07,1,2,DOIS,N
0.248018,0.0296908,0.00361616,0.00117205,2.41245e-06,0.000201857,-0.00004692,1,3,DOIS,N
0.252163,0.0333773,0.00239687,0.000802997,1.11395e-06,0.00014613,1.19366e-08,1,2,DOIS,N
0.24865,0.0307245,0.00320376,0.000998434,1.78133e-06,0.000171528,1.24918e-07,1,2,DOIS,N
0.241456,0.0286779,0.00212411,0.00065744,7.7689e-07,0.000111102,6.05353e-09,2,3,DOIS,N
0.253644,0.0332734,0.00319626,0.000913276,1.54833e-06,0.00016234,0.0001934,1,3,DOIS,N
0.247363,0.0312779,0.00268154,0.000770698,1.09238e-06,0.000129632,1.85046e-07,1,4,DOIS,N
0.252842,0.0304785,0.00464238,0.00153073,4.07728e-06,0.000267235,-1.63375e-07,1,3,DOIS,N
0.244866,0.0287231,0.00332019,0.000994819,1.80503e-06,0.000166237,1.03499e-07,1,3,DOIS,N
0.262624,0.0376466,0.0036133,0.0012018,2.50065e-06,0.000229449,1.36407e-07,1,2,DOIS,N
0.248901,0.0318336,0.00264666,0.00083218,1.23322e-06,0.000147335,6.66679e-08,1,2,DOIS,N
0.239034,0.0271545,0.00242151,0.000669723,8.43141e-07,0.000106006,1.28496e-07,2,3,DOIS,N
0.249519,0.0309973,0.00332677,0.000874973,1.47461e-06,0.000147683,2.32381e-07,1,3,DOIS,N
0.251225,0.0320905,0.00323066,0.000969007,1.7079e-06,0.000168465,1.50259e-07,1,3,DOIS,N
0.249583,0.0314601,0.00297587,0.000849637,1.34271e-06,0.000147323,1.49521e-07,1,3,DOIS,N
0.234493,0.0253489,0.00226307,0.000585062,6.64323e-07,0.09013,1.0904e-07,1,3,DOIS,N
0.247727,0.0311884,0.00224291,0.000708344,8.90271e-07,0.000123064,6.76473e-08,2,3,DOIS,N
0.196824,0.0063815,0.00221059,0.000407672,3.57043e-07,2.54199e-05,-1.49315e-07,1,3,DOIS,Q
0.202328,0.00452086,0.00373346,0.000563556,6.93751e-07,1.99835e-05,-4.32361e-07,1,3,DOIS,Q
0.190057,0.00525264,0.00101367,0.000256719,1.23902e-07,1.40672e-05,-4.24116e-08,1,4,DOIS,Q
0.193123,0.00438529,0.00199016,0.000363312,2.95046e-07,1.72345e-05,-9.15788e-08,1,3,DOIS,Q
