@relation out321608

@attribute hog0 numeric
@attribute hog1 numeric
@attribute hog2 numeric
@attribute hog3 numeric
@attribute hog4 numeric
@attribute hog5 numeric
@attribute hog6 numeric
@attribute hog7 numeric
@attribute hog8 numeric
@attribute hog9 numeric
@attribute hog10 numeric
@attribute hog11 numeric
@attribute hog12 numeric
@attribute hog13 numeric
@attribute hog14 numeric
@attribute hog15 numeric
@attribute hog16 numeric
@attribute hog17 numeric
@attribute hog18 numeric
@attribute hog19 numeric
@attribute hog20 numeric
@attribute hog21 numeric
@attribute hog22 numeric
@attribute hog23 numeric
@attribute hog24 numeric
@attribute hog25 numeric
@attribute hog26 numeric
@attribute hog27 numeric
@attribute hog28 numeric
@attribute hog29 numeric
@attribute hog30 numeric
@attribute hog31 numeric
@attribute hog32 numeric
@attribute hog33 numeric
@attribute hog34 numeric
@attribute hog35 numeric
@attribute hog36 numeric
@attribute hog37 numeric
@attribute hog38 numeric
@attribute hog39 numeric
@attribute hog40 numeric
@attribute hog41 numeric
@attribute hog42 numeric
@attribute hog43 numeric
@attribute hog44 numeric
@attribute hog45 numeric
@attribute hog46 numeric
@attribute hog47 numeric
@attribute hog48 numeric
@attribute hog49 numeric
@attribute hog50 numeric
@attribute hog51 numeric
@attribute hog52 numeric
@attribute hog53 numeric
@attribute hog54 numeric
@attribute hog55 numeric
@attribute hog56 numeric
@attribute hog57 numeric
@attribute hog58 numeric
@attribute hog59 numeric
@attribute hog60 numeric
@attribute hog61 numeric
@attribute hog62 numeric
@attribute hog63 numeric
@attribute hog64 numeric
@attribute hog65 numeric
@attribute hog66 numeric
@attribute hog67 numeric
@attribute hog68 numeric
@attribute hog69 numeric
@attribute hog70 numeric
@attribute hog71 numeric
@attribute hog72 numeric
@attribute hog73 numeric
@attribute hog74 numeric
@attribute hog75 numeric
@attribute hog76 numeric
@attribute hog77 numeric
@attribute hog78 numeric
@attribute hog79 numeric
@attribute hog80 numeric
@attribute hog81 numeric
@attribute hog82 numeric
@attribute hog83 numeric
@attribute hog84 numeric
@attribute hog85 numeric
@attribute hog86 numeric
@attribute hog87 numeric
@attribute hog88 numeric
@attribute hog89 numeric
@attribute hog90 numeric
@attribute hog91 numeric
@attribute hog92 numeric
@attribute hog93 numeric
@attribute hog94 numeric
@attribute hog95 numeric
@attribute hog96 numeric
@attribute hog97 numeric
@attribute hog98 numeric
@attribute hog99 numeric
@attribute hog100 numeric
@attribute hog101 numeric
@attribute hog102 numeric
@attribute hog103 numeric
@attribute hog104 numeric
@attribute hog105 numeric
@attribute hog106 numeric
@attribute hog107 numeric
@attribute hog108 numeric
@attribute hog109 numeric
@attribute hog110 numeric
@attribute hog111 numeric
@attribute hog112 numeric
@attribute hog113 numeric
@attribute hog114 numeric
@attribute hog115 numeric
@attribute hog116 numeric
@attribute hog117 numeric
@attribute hog118 numeric
@attribute hog119 numeric
@attribute hog120 numeric
@attribute hog121 numeric
@attribute hog122 numeric
@attribute hog123 numeric
@attribute hog124 numeric
@attribute hog125 numeric
@attribute hog126 numeric
@attribute hog127 numeric
@attribute hog128 numeric
@attribute hog129 numeric
@attribute hog130 numeric
@attribute hog131 numeric
@attribute hog132 numeric
@attribute hog133 numeric
@attribute hog134 numeric
@attribute hog135 numeric
@attribute hog136 numeric
@attribute hog137 numeric
@attribute hog138 numeric
@attribute hog139 numeric
@attribute hog140 numeric
@attribute hog141 numeric
@attribute hog142 numeric
@attribute hog143 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}


@data
0.262392,0.197989,0.127152,0.072647,0.0388333,0.00451288,0.0183014,0.0534323,0.20959,0.262392,0.262392,0.0942981,0.0783352,0.0535049,0.0167431,0.0166192,0.0793263,0.262392,0.262392,0.262392,0.262392,0.132119,0.0166042,0.00321231,0.026563,0.0826097,0.187894,0.262392,0.262392,0.220937,0.159752,0.0391687,0.00598869,0.0398811,0.191786,0.262392,0.111995,0.019019,0.012358,0.00254401,0.0348163,0.0376288,0.193681,0.262161,0.262161,0.0941381,0.0309839,0.0181627,0.0224004,0.0632911,0.111213,0.262161,0.262161,0.253267,0.186188,0.0541253,0.0723041,0.0246608,0.127507,0.0959982,0.262161,0.262161,0.262161,0.132816,0.0201779,0.0391957,0.109857,0.14749,0.208351,0.262161,0.262161,0.262161,0.166409,0.081047,0.129387,0.144141,0.148656,0.17511,0.20825,0.103557,0.153316,0.238608,0.216522,0.149834,0.202902,0.130035,0.166588,0.148371,0.172712,0.238608,0.238608,0.132625,0.104282,0.0732024,0.138966,0.154132,0.189783,0.146589,0.189088,0.238608,0.238608,0.0934345,0.121384,0.114002,0.0624148,0.103247,0.160321,0.238608,0.152685,0.259978,0.259978,0.240451,0.145306,0.0453697,0.0208326,0.020869,0.0522811,0.0869668,0.259978,0.259978,0.259978,0.242764,0.051862,0.0257762,0.0242712,0.0269676,0.201133,0.259978,0.259978,0.219012,0.0669092,0.0136242,0.000129737,0.00464126,0.0844141,0.15172,0.259978,0.259978,0.259978,0.120737,0.0461817,0.0141957,0.0137908,0.0457216,0,0,?,?
0.262392,0.197989,0.127152,0.072647,0.0388333,0.00451288,0.0183014,0.0534323,0.20959,0.262392,0.262392,0.0942981,0.0783352,0.0535049,0.0167431,0.0166192,0.0793263,0.262392,0.262392,0.262392,0.262392,0.132119,0.0166042,0.00321231,0.026563,0.0826097,0.187894,0.262392,0.262392,0.220937,0.159752,0.0391687,0.00598869,0.0398811,0.191786,0.262392,0.111995,0.019019,0.012358,0.00254401,0.0348163,0.0376288,0.193681,0.262161,0.262161,0.0941381,0.0309839,0.0181627,0.0224004,0.0632911,0.111213,0.262161,0.262161,0.253267,0.186188,0.0541253,0.0723041,0.0246608,0.127507,0.0959982,0.262161,0.262161,0.262161,0.132816,0.0201779,0.0391957,0.109857,0.14749,0.208351,0.262161,0.262161,0.262161,0.166409,0.081047,0.129387,0.144141,0.148656,0.17511,0.20825,0.103557,0.153316,0.238608,0.216522,0.149834,0.202902,0.130035,0.166588,0.148371,0.172712,0.238608,0.238608,0.132625,0.104282,0.0732024,0.138966,0.154132,0.189783,0.146589,0.189088,0.238608,0.238608,0.0934345,0.121384,0.114002,0.0624148,0.103247,0.160321,0.238608,0.152685,0.259978,0.259978,0.240451,0.145306,0.0453697,0.0208326,0.020869,0.0522811,0.0869668,0.259978,0.259978,0.259978,0.242764,0.051862,0.0257762,0.0242712,0.0269676,0.201133,0.259978,0.259978,0.219012,0.0669092,0.0136242,0.000129737,0.00464126,0.0844141,0.15172,0.259978,0.259978,0.259978,0.120737,0.0461817,0.0141957,0.0137908,0.0457216,0,0,?,?
0.286786,0.271982,0.118669,0.0321951,0.0509967,0.0203415,0.0396067,0.0669427,0.128311,0.286786,0.286786,0.123485,0.00927752,0.0520902,0.0210121,0.0278665,0.106957,0.206306,0.286786,0.286786,0.239326,0.0850247,0.0534643,0.0435817,0.036378,0.0462298,0.176694,0.286786,0.286786,0.239234,0.0243003,0.0265005,0.0263063,0.0505578,0.0742786,0.249571,0.126768,0.069617,0.0272103,0.0143737,0.0560947,0.0552023,0.130109,0.261997,0.261997,0.143284,0.0605759,0.0297694,0.0137377,0.0992381,0.221289,0.261997,0.261997,0.22717,0.152581,0.0729826,0.0285058,0.0154779,0.0944978,0.135596,0.213173,0.261997,0.261997,0.0992674,0.0221939,0.0262471,0.0399952,0.136717,0.261997,0.261997,0.261997,0.255285,0.121163,0.142885,0.059172,0.0895015,0.122132,0.164533,0.186327,0.16359,0.121612,0.197733,0.183854,0.116307,0.180821,0.0932886,0.111469,0.180686,0.207274,0.226678,0.226678,0.156905,0.114686,0.0931068,0.103209,0.180218,0.18802,0.162228,0.226678,0.226678,0.226678,0.208127,0.146353,0.0943289,0.0651361,0.174121,0.221976,0.226678,0.18531,0.187339,0.248844,0.248844,0.139502,0.0571301,0.0431046,0.0281858,0.0936511,0.162155,0.173521,0.248844,0.248844,0.199207,0.137164,0.0285666,0.0248712,0.0816296,0.248844,0.248844,0.248844,0.19933,0.115228,0.019348,0.00900989,0.0267503,0.116876,0.219582,0.231222,0.248844,0.248844,0.19006,0.0339927,0.0066211,0.0328256,0.0754844,0,0,?,?
0.272048,0.22246,0.16722,0.0342736,0.0321978,0.0389363,0.0405229,0.0737463,0.18844,0.272048,0.232046,0.169708,0.0293102,0.035042,0.028482,0.0237295,0.105108,0.272048,0.272048,0.272048,0.255508,0.145274,0.0440468,0.0265505,0.0407268,0.0338174,0.14461,0.272048,0.272048,0.211204,0.104627,0.0492639,0.0275524,0.0508708,0.128193,0.260337,0.173344,0.0244895,0.0290648,0.0187301,0.0460286,0.0599072,0.12041,0.258826,0.258826,0.105984,0.0252627,0.03726,0.0349729,0.115138,0.18553,0.236079,0.258826,0.243016,0.200946,0.0452091,0.0135425,0.0168384,0.0467098,0.192663,0.248427,0.258826,0.258826,0.117451,0.010149,0.0204098,0.0381528,0.119882,0.258826,0.258826,0.258826,0.241735,0.151087,0.145426,0.096626,0.158148,0.138177,0.157811,0.1212,0.186083,0.142644,0.186372,0.157055,0.157509,0.145016,0.160672,0.189456,0.159404,0.227788,0.226983,0.227788,0.179229,0.0823654,0.0370651,0.0589829,0.135995,0.152097,0.223224,0.209073,0.227788,0.227788,0.175331,0.0600602,0.0971711,0.0822822,0.14507,0.227788,0.227788,0.139552,0.228242,0.252728,0.252728,0.14153,0.050147,0.0270014,0.0601552,0.125694,0.0592732,0.238102,0.252728,0.252728,0.208405,0.057877,0.0313245,0.0174026,0.031776,0.219536,0.252728,0.252728,0.230905,0.115234,0.0233403,0.0331372,0.0515438,0.150855,0.110797,0.252728,0.252728,0.252728,0.182837,0.0358293,0.0649992,0.053552,0.056207,0,0,?,?
0.263432,0.154293,0.12072,0.088601,0.0514764,0.0202075,0.0491118,0.143235,0.239879,0.263432,0.22253,0.148281,0.0690556,0.0351656,0.0157934,0.0487809,0.149001,0.263432,0.263432,0.263432,0.225811,0.125611,0.0307901,0.00906797,0.0356511,0.129814,0.219028,0.263432,0.263432,0.170859,0.0793394,0.0513195,0.0775221,0.0673171,0.16594,0.263432,0.185072,0.0195168,0.00552496,0.0197605,0.0275333,0.0612361,0.19664,0.262438,0.262438,0.111329,0.0253807,0.0273298,0.0268234,0.0723874,0.166544,0.262438,0.262438,0.207996,0.157925,0.0247282,0.00836782,0.00226135,0.0488302,0.149716,0.262438,0.262438,0.262438,0.083455,0.015593,0.0214207,0.0561451,0.179401,0.262438,0.262438,0.262438,0.215035,0.192192,0.156841,0.0798051,0.122108,0.115305,0.091983,0.19476,0.116501,0.140643,0.231509,0.179322,0.145737,0.134846,0.101346,0.147177,0.167423,0.216398,0.231509,0.231509,0.203665,0.130491,0.118078,0.0997941,0.0919972,0.173538,0.150613,0.168696,0.231509,0.231509,0.231509,0.175252,0.10722,0.08536,0.0996158,0.191668,0.231509,0.148637,0.241709,0.241709,0.241709,0.145529,0.126229,0.051109,0.0439416,0.0778835,0.081296,0.241709,0.241709,0.241709,0.241709,0.158059,0.0509488,0.0452297,0.0637759,0.175742,0.241709,0.241709,0.241709,0.0963049,0.0265942,0.0281769,0.052576,0.106758,0.119956,0.241709,0.241709,0.241709,0.204925,0.0940194,0.0375175,0.0453403,0.0588311,0,0,?,?
0.243898,0.250054,0.105485,0.0516023,0.036378,0.013203,0.0473933,0.139184,0.250054,0.250054,0.250054,0.115616,0.0610253,0.0255675,0.00999284,0.0889532,0.13848,0.250054,0.250054,0.250054,0.167458,0.126659,0.032588,0.00756661,0.0393074,0.123031,0.250054,0.250054,0.250054,0.175794,0.114924,0.0399298,0.0297957,0.125806,0.209934,0.250054,0.111263,0.052399,0.0365917,0.0162298,0.057643,0.135122,0.23122,0.256867,0.256867,0.0835978,0.0745053,0.0460093,0.0562812,0.121236,0.200964,0.256867,0.256867,0.224178,0.0933218,0.0573835,0.0569925,0.0171139,0.0959545,0.19616,0.256867,0.256867,0.256867,0.0488988,0.0230959,0.0187492,0.0206141,0.117234,0.256867,0.256867,0.256867,0.204978,0.134331,0.153893,0.124376,0.12683,0.125463,0.132382,0.151482,0.15085,0.148104,0.228017,0.211176,0.127047,0.109917,0.142211,0.159098,0.144211,0.17957,0.195806,0.180879,0.212645,0.129854,0.17669,0.114701,0.0846003,0.184214,0.228017,0.222695,0.228017,0.228017,0.0856572,0.13227,0.128598,0.0528078,0.166826,0.228017,0.228017,0.163278,0.249179,0.249179,0.249179,0.134151,0.0521314,0.0348357,0.0300125,0.0661451,0.0737509,0.243278,0.249179,0.249179,0.249179,0.0873746,0.0212489,0.0228174,0.0156585,0.249179,0.249179,0.249179,0.232019,0.0770494,0.0343503,0.0117448,0.0204343,0.114832,0.135244,0.249179,0.249179,0.249179,0.157751,0.0757155,0.0217728,0.0165226,0.0271916,0,0,?,?
0.242297,0.24087,0.12228,0.0955458,0.0351855,0.0309387,0.056316,0.120519,0.199025,0.246372,0.195816,0.180191,0.0532181,0.0160867,0.0412916,0.0697608,0.141843,0.246372,0.246372,0.246372,0.233155,0.105351,0.0627031,0.00754463,0.0399284,0.141068,0.246372,0.246372,0.246372,0.246372,0.0697048,0.0623997,0.0486937,0.124837,0.180799,0.246372,0.133141,0.0429627,0.0240871,0.0312476,0.0241503,0.106349,0.18342,0.269026,0.269026,0.0554757,0.0435636,0.0403831,0.0638956,0.0779423,0.139135,0.25391,0.269026,0.205509,0.198597,0.0685332,0.0207448,0.0492962,0.03467,0.147559,0.269026,0.269026,0.269026,0.0637302,0.0294591,0.0445416,0.0739262,0.116163,0.269026,0.269026,0.269026,0.201493,0.129755,0.0573008,0.176247,0.133358,0.116358,0.216273,0.118867,0.0985111,0.184532,0.13973,0.122338,0.199969,0.151095,0.089348,0.0996979,0.189038,0.233597,0.233597,0.198551,0.112803,0.153472,0.10316,0.135509,0.204967,0.121312,0.11709,0.233597,0.233597,0.233597,0.233597,0.134325,0.0791027,0.0681383,0.142241,0.23074,0.233597,0.099789,0.255326,0.255326,0.255326,0.119439,0.101857,0.0566392,0.049209,0.0846359,0.0518629,0.255326,0.255326,0.255326,0.161324,0.105899,0.0189642,0.0368984,0.0307871,0.201844,0.255326,0.255326,0.255326,0.143861,0.0393832,0.0191062,0.0226411,0.116386,0.0774923,0.255326,0.255326,0.255326,0.191088,0.0617121,0.0191404,0.00977296,0.0309978,0,0,?,?
0.248446,0.170332,0.118392,0.0516331,0.0405516,0.0626747,0.0711422,0.145912,0.203478,0.248446,0.248446,0.165473,0.0277104,0.0336326,0.0307206,0.0606994,0.155187,0.248446,0.248446,0.248446,0.248446,0.123662,0.0192611,0.0337596,0.0689811,0.104253,0.196114,0.248446,0.248446,0.248446,0.0756706,0.0257252,0.0248244,0.102736,0.230375,0.248446,0.179816,0.0806709,0.0222105,0.00650304,0.0267439,0.104343,0.223105,0.248946,0.248946,0.101705,0.0607721,0.00601693,0.0235919,0.0801828,0.168513,0.248946,0.248946,0.239927,0.220227,0.0733958,0.0486899,0.0226168,0.0598329,0.159802,0.248946,0.248946,0.248946,0.141815,0.0897891,0.0405349,0.0808615,0.146961,0.248946,0.248946,0.248946,0.161728,0.153852,0.121388,0.130808,0.117018,0.164222,0.136488,0.129129,0.187369,0.129872,0.182226,0.16108,0.236002,0.112371,0.0730674,0.110881,0.184511,0.236002,0.236002,0.236002,0.136442,0.0975414,0.0551072,0.109606,0.0916656,0.120528,0.219908,0.236002,0.236002,0.193779,0.236002,0.0546582,0.083711,0.0681935,0.150956,0.236002,0.236002,0.23453,0.197046,0.235059,0.235059,0.190715,0.0863022,0.0568844,0.0435468,0.0715097,0.190348,0.150227,0.235059,0.235059,0.235059,0.110601,0.0115667,0.023886,0.0809593,0.235059,0.197207,0.235059,0.235059,0.106324,0.0259221,0.0356897,0.0708705,0.0833741,0.235059,0.235059,0.235059,0.235059,0.188558,0.0396245,0.0118388,0.0589546,0.0598061,0,0,?,?
0.246589,0.216649,0.195111,0.0798662,0.0211614,0.0100294,0.059207,0.0708622,0.182112,0.246589,0.198745,0.190461,0.100514,0.0324884,0.0306341,0.0340817,0.0930322,0.246589,0.246589,0.246589,0.246589,0.114661,0.0359768,0.00580414,0.0527574,0.102367,0.21634,0.246589,0.246589,0.246589,0.141827,0.00724892,0.0111132,0.05025,0.246589,0.246589,0.196583,0.0817099,0.00980986,0.025299,0.0528572,0.109031,0.212223,0.257364,0.257364,0.132542,0.0363812,0.0543534,0.0734026,0.0880673,0.176716,0.257364,0.257364,0.176874,0.148081,0.0436113,0.0418558,0.0238052,0.0338843,0.126334,0.257364,0.257364,0.257364,0.133259,0.0393849,0.024337,0.152497,0.117485,0.212975,0.257364,0.257364,0.229013,0.115124,0.111461,0.11759,0.145008,0.144019,0.172311,0.114847,0.171477,0.133412,0.084352,0.162174,0.18411,0.171067,0.182436,0.165769,0.107655,0.225381,0.225381,0.144886,0.195084,0.097742,0.149419,0.153861,0.150349,0.192494,0.225381,0.204532,0.20346,0.189004,0.17419,0.177931,0.14851,0.112294,0.116619,0.225381,0.225381,0.144297,0.25121,0.25121,0.205548,0.180608,0.0806148,0.0547653,0.0296588,0.054589,0.167541,0.169099,0.25121,0.25121,0.25121,0.120373,0.0558636,0.0147092,0.0543891,0.218895,0.25121,0.25121,0.152224,0.0989798,0.0175833,0.0324544,0.021593,0.0945202,0.17264,0.25121,0.25121,0.25121,0.221114,0.0112122,0.0224547,0.0134335,0.0936754,0,0,?,?
0.240097,0.24986,0.152495,0.0583742,0.0321865,0.0290538,0.0686379,0.139707,0.15016,0.24986,0.24986,0.191426,0.0984272,0.0419747,0.0541749,0.0701549,0.130994,0.233678,0.24986,0.24986,0.24986,0.0938322,0.0549721,0.0267616,0.0621531,0.0871395,0.129304,0.24986,0.24986,0.24986,0.111688,0.0512382,0.0524696,0.156763,0.171392,0.24986,0.145748,0.0689797,0.0311391,0.00468737,0.0595446,0.136,0.180351,0.242294,0.242294,0.139436,0.0383669,0.0440364,0.025177,0.123846,0.171077,0.242294,0.242294,0.225063,0.158059,0.0532813,0.0595273,0.0320044,0.0981241,0.215758,0.242294,0.242294,0.242294,0.102769,0.0265388,0.0376784,0.0464703,0.224265,0.242294,0.242294,0.242294,0.237693,0.137238,0.118881,0.0859628,0.146108,0.173085,0.131451,0.116208,0.13066,0.219169,0.167582,0.219169,0.195654,0.166098,0.106747,0.095936,0.186267,0.202751,0.219169,0.219169,0.167712,0.111293,0.110329,0.171253,0.115439,0.128821,0.155158,0.219169,0.219169,0.219169,0.219169,0.172267,0.133883,0.0534325,0.137276,0.174105,0.219169,0.178729,0.232736,0.189533,0.235191,0.200254,0.139129,0.0514605,0.0590073,0.105432,0.0699777,0.235191,0.235191,0.235191,0.223228,0.1414,0.0378359,0.0808446,0.0363939,0.235191,0.235191,0.210943,0.235191,0.125017,0.0433701,0.0207946,0.0679507,0.170148,0.135394,0.235191,0.235191,0.235191,0.178702,0.0468682,0.0295156,0.0692143,0.0872824,0,0,?,?
