hu0,hu1,hu2,hu3,hu4,hu5,hu6,shp0,shp1,groups,label
0.191147,0.00516508,0.00139012,0.000102524,1.81798e-08,-2.55256e-06,3.41696e-08,1,4,ZERO,I
0.189979,0.00503702,0.00108929,8.36748e-05,1.30354e-08,-2.25382e-06,2.16387e-08,1,4,ZERO,I
0.196896,0.00692662,0.00145375,0.000116837,1.71711e-08,-3.81102e-06,4.49864e-08,1,5,ZERO,I
0.18645,0.00338386,0.00128885,9.11965e-05,1.63416e-08,-1.66546e-06,2.66552e-08,1,4,ZERO,I
0.191097,0.00536452,0.00123309,7.75296e-05,5.77237e-09,-3.14951e-06,2.32663e-08,1,4,ZERO,I
0.199423,0.00933992,0.00115371,0.00018002,7.87921e-08,9.92915e-06,2.28584e-08,2,6,ZERO,I
0.190629,0.00511338,0.00134522,9.1128e-05,1.22512e-08,-2.77688e-06,2.94603e-08,1,5,ZERO,I
0.193132,0.00586368,0.00135799,7.91872e-05,2.67978e-10,-4.29154e-06,2.59661e-08,1,3,ZERO,I
0.188351,0.00369441,0.00134591,0.000106737,2.26273e-08,-1.54852e-06,3.35359e-08,1,3,ZERO,I
0.206948,0.0109309,0.00160981,0.000329902,2.36253e-07,2.36955e-05,4.45497e-08,3,3,ZERO,I
0.189979,0.0054504,0.000976226,6.17409e-05,4.43948e-09,-2.49414e-06,1.44931e-08,1,4,ZERO,I
0.189475,0.005099,0.00107302,6.05768e-05,2.99915e-09,-2.76649e-06,1.51501e-08,1,4,ZERO,I
0.193749,0.00614476,0.00135186,9.61691e-05,4.39807e-09,-4.54092e-06,3.43951e-08,1,4,ZERO,I
0.193978,0.00702403,0.0015244,0.000140868,5.09617e-08,4.09784e-06,4.07938e-08,1,5,ZERO,I
0.194638,0.00629866,0.00173868,0.000360702,2.84623e-07,2.44744e-05,2.41864e-08,1,5,ZERO,I
0.224328,0.0172159,0.00133185,7.94464e-05,-1.46186e-09,-6.20252e-06,2.58014e-08,2,7,ZERO,I
0.195961,0.00675717,0.00144416,0.000100466,6.10531e-09,-4.79975e-06,3.77779e-08,1,4,ZERO,I
0.20719,0.0102276,0.00128941,8.32538e-05,1.90135e-08,9.40083e-07,1.95586e-08,4,6,ZERO,I
0.191846,0.00521893,0.0013739,8.3961e-05,6.07915e-09,-3.56196e-06,2.78609e-08,1,5,ZERO,I
0.19328,0.00578796,0.00139396,9.19424e-05,7.29711e-09,-3.96945e-06,3.20963e-08,1,4,ZERO,I
0.219244,0.00527591,0.000757621,0.000369744,-1.17547e-07,2.68511e-05,1.56457e-07,2,6,SETE,Aviao
0.210524,0.00489174,0.00159904,0.000111562,1.30872e-09,7.4082e-06,4.71019e-08,1,5,SETE,Aviao
0.216113,0.00440546,0.000584934,0.000373202,-1.46423e-07,2.47283e-05,9.46838e-08,2,6,SETE,Aviao
0.21373,0.00406484,0.000786991,0.000294668,-1.22791e-07,1.87859e-05,7.11208e-08,1,5,SETE,Aviao
0.215997,0.00366504,0.000857314,0.000384265,-1.63273e-07,2.22038e-05,1.48278e-07,1,5,SETE,Aviao
0.210284,0.00407978,0.00108877,0.000229464,-1.91249e-08,1.35715e-05,1.13088e-07,1,5,SETE,Aviao
0.215198,0.0032278,0.00120785,0.000360543,-1.33427e-07,2.04377e-05,1.96994e-07,1,5,SETE,Aviao
0.212683,0.00593695,0.000648859,0.000289721,-6.47214e-08,2.21256e-05,1.07659e-07,2,5,SETE,Aviao
0.203885,0.00350905,0.000802163,0.000171775,-1.33607e-08,9.27767e-06,6.23478e-08,2,5,SETE,Aviao
0.215844,0.00343379,0.000679512,0.000411416,-2.0486e-07,2.37833e-05,7.31583e-08,1,5,SETE,Aviao
0.229519,0.00869422,0.00161368,0.000305857,1.45103e-07,2.08615e-05,1.58482e-07,4,5,SETE,Aviao
0.222015,0.0073722,0.00177474,0.000234201,1.41514e-07,9.15909e-06,5.26509e-08,2,5,SETE,Aviao
0.215322,0.00474099,0.00061833,0.000306331,-1.03265e-07,2.09127e-05,8.43253e-08,2,6,SETE,Aviao
0.213461,0.00464478,0.000298656,0.000358721,-1.16909e-07,2.43964e-05,1.08791e-08,1,5,SETE,Aviao
0.217097,0.00445932,0.000647171,0.000363565,-1.50688e-07,2.42595e-05,9.16155e-08,1,5,SETE,Aviao
0.218486,0.00534378,0.00049089,0.000497988,-2.26518e-07,3.6379e-05,9.65039e-08,3,4,SETE,Aviao
0.214767,0.00374583,0.000627409,0.000346714,-1.55748e-07,2.09049e-05,4.34976e-08,2,5,SETE,Aviao
0.217843,0.00500159,0.000575379,0.000388382,-1.73183e-07,2.7459e-05,6.09551e-08,2,7,SETE,Aviao
0.208019,0.00536905,0.000840702,0.000226555,1.75077e-08,1.51458e-05,9.73114e-08,2,4,SETE,Aviao
0.217343,0.00527154,0.000440393,0.000352972,-1.34692e-07,2.50853e-05,3.50019e-08,1,5,SETE,Aviao
0.215265,0.0172928,0.00122233,0.000190773,8.81724e-08,2.03356e-05,-2.66897e-08,1,5,TRES,Adulto
0.190709,0.00848376,0.000681697,3.83063e-05,4.63092e-09,1.68191e-06,-4.10764e-09,1,4,TRES,Adulto
0.214138,0.0153999,0.00150067,0.000302245,1.92095e-07,3.49793e-05,-6.73347e-08,3,3,TRES,Adulto
0.216039,0.0159279,0.00155912,0.000318268,2.05635e-07,3.63888e-05,-8.93219e-08,4,4,TRES,Adulto
0.18974,0.00794345,0.000742062,3.56612e-05,3.36511e-09,8.67102e-07,-4.72539e-09,1,4,TRES,Adulto
0.204796,0.0120811,0.00132164,0.000255663,1.39301e-07,2.62684e-05,-5.17783e-08,1,3,TRES,Adulto
0.200206,0.0102216,0.00134063,0.000207676,9.78945e-08,1.80701e-05,-4.92409e-08,2,4,TRES,Adulto
0.213486,0.0164415,0.00125292,0.000191005,9.07529e-08,2.07613e-05,-2.2243e-08,1,4,TRES,Adulto
0.206894,0.0129227,0.00143665,0.000310693,1.98354e-07,3.38105e-05,-6.11762e-08,1,4,TRES,Adulto
0.204901,0.0120036,0.00148804,0.000257303,1.53053e-07,2.71367e-05,-4.38523e-08,2,3,TRES,Adulto
0.215016,0.0175561,0.00109711,0.000189411,8.49163e-08,2.20976e-05,-1.56375e-08,1,4,TRES,Adulto
0.19129,0.00847242,0.000662619,2.37858e-05,1.00406e-09,9.53743e-08,-2.81226e-09,1,4,TRES,Adulto
0.213992,0.0149482,0.00163935,0.000354483,2.51849e-07,4.06661e-05,-9.79516e-08,2,4,TRES,Adulto
0.209467,0.0133168,0.00141823,0.000275653,1.61979e-07,3.02009e-05,-5.88922e-08,3,3,TRES,Adulto
0.20777,0.0132902,0.00134457,0.000268863,1.5194e-07,2.88924e-05,-5.51959e-08,1,4,TRES,Adulto
0.20633,0.0129312,0.00136088,0.000252986,1.37404e-07,2.60998e-05,-5.61692e-08,1,3,TRES,Adulto
0.216227,0.0149029,0.00172138,0.000362881,2.86572e-07,4.39056e-05,-1.15357e-08,3,5,TRES,Adulto
0.207326,0.0129637,0.00138584,0.00027436,1.60395e-07,2.97395e-05,-5.37944e-08,1,4,TRES,Adulto
0.219665,0.0188823,0.00120961,0.00018744,0.00008632,2.11826e-05,-2.2687e-08,1,5,TRES,Adulto
0.231084,0.0206894,0.00207983,0.000475142,4.27643e-07,6.01217e-05,-2.00549e-07,3,4,TRES,Adulto
0.215401,0.0124602,0.00137781,0.000121368,4.64712e-08,1.14637e-05,-1.74257e-08,2,3,QUATRO,O
0.207423,0.0112003,9.54557e-05,1.15891e-05,-3.75564e-10,1.16621e-06,-8.67701e-11,2,3,QUATRO,O
0.211618,0.0107243,0.00128438,7.48169e-05,2.06845e-08,6.09382e-06,-1.04901e-08,2,3,QUATRO,O
0.213784,0.0120935,0.00142621,0.000134511,5.72278e-08,1.34316e-05,-1.39987e-08,2,3,QUATRO,O
0.203462,0.0102205,7.83446e-05,1.01075e-05,-2.83474e-10,9.33297e-07,2.32352e-11,2,3,QUATRO,O
0.21018,0.0100066,0.00119559,5.94904e-05,1.56422e-08,5.61854e-06,-2.65389e-09,2,4,QUATRO,O
0.210416,0.0105405,0.00122573,9.22745e-05,2.89414e-08,7.80966e-06,-1.11994e-08,2,3,QUATRO,O
0.213187,0.0118435,0.00141341,0.000140263,6.07525e-08,1.40176e-05,-1.4471e-08,2,3,QUATRO,O
0.20995,0.0110289,0.00131186,0.000121102,4.57051e-08,1.1163e-05,-1.55237e-08,2,4,QUATRO,O
0.209332,0.0107657,0.00129677,0.000122898,4.79489e-08,1.1818e-05,-1.03945e-08,2,2,QUATRO,O
0.208058,0.0111427,9.17237e-05,1.54995e-05,-5.84409e-10,1.48483e-06,-7.23894e-14,2,4,QUATRO,O
0.206934,0.0113004,0.000127422,4.79171e-06,-7.20012e-11,3.42465e-07,9.39934e-11,2,3,QUATRO,O
0.211037,0.0114858,0.00125745,0.000115488,0.00004228,1.09626e-05,-1.22175e-08,2,3,QUATRO,O
0.207766,0.0103331,0.00122406,9.5991e-05,3.1405e-08,8.56913e-06,-0.000009818,2,4,QUATRO,O
0.206108,0.00961171,0.00108296,7.78935e-05,2.21355e-08,7.03229e-06,-4.6736e-09,2,4,QUATRO,O
0.222982,0.017726,0.000828405,9.6777e-05,1.36459e-08,7.0325e-06,2.37624e-08,2,4,QUATRO,O
0.209227,0.0107331,0.00119196,0.000100428,3.4138e-08,9.71676e-06,-6.47654e-09,2,3,QUATRO,O
0.205664,0.00932824,0.00104814,7.50861e-05,2.05309e-08,6.59197e-06,-4.71052e-09,2,3,QUATRO,O
0.211513,0.0118587,0.00123774,0.00012304,4.66207e-08,1.2132e-05,-1.14898e-08,2,3,QUATRO,O
0.212391,0.0114555,0.00133174,0.000124337,4.75419e-08,1.13419e-05,-1.73104e-08,2,3,QUATRO,O
0.364918,0.0104211,0.0283003,0.000785047,-1.92215e-06,-7.33457e-05,3.16191e-06,1,4,NOVE,Casa
0.378914,0.0118534,0.0369508,0.00120899,-7.79515e-06,-0.000111627,2.12892e-06,1,4,NOVE,Casa
0.404835,0.0343326,0.0342148,0.00118159,-5.66661e-06,-0.000166269,-4.93288e-06,1,4,NOVE,Casa
0.402461,0.0397693,0.0310347,0.00140365,-3.54746e-07,-0.000152503,-9.25753e-06,1,4,NOVE,Casa
0.349036,0.00825673,0.0290071,0.000707042,-2.67832e-06,-4.04963e-05,1.75481e-06,1,4,NOVE,Casa
0.380068,0.029477,0.0315125,0.00130102,-2.23459e-06,-0.000105983,-8.02516e-06,1,4,NOVE,Casa
0.395411,0.0332886,0.0315558,0.00145665,-4.79008e-06,-0.000193949,-8.63634e-06,1,4,NOVE,Casa
0.372104,0.0151546,0.0282891,0.00104165,1.48965e-07,-4.32432e-05,5.65252e-06,1,4,NOVE,Casa
0.388951,0.0367004,0.0285678,0.00138709,-0.002795,-0.000186808,-8.27219e-06,1,4,NOVE,Casa
0.372203,0.0277025,0.0292167,0.00112912,-4.72752e-06,-0.00017947,-4.43949e-06,1,4,NOVE,Casa
0.404467,0.0125295,0.0408936,0.00138225,-1.02471e-05,-0.00014991,-1.73032e-06,1,4,NOVE,Casa
0.398188,0.0127622,0.0394079,0.00142924,-1.05617e-05,-0.000153959,1.87186e-06,1,4,NOVE,Casa
0.381159,0.0304674,0.0290164,0.00111841,-2.39691e-06,-0.000125793,-5.9032e-06,1,4,NOVE,Casa
0.385404,0.0289298,0.0315908,0.00116853,-5.53921e-06,-0.000196333,-4.44106e-06,1,4,NOVE,Casa
0.386593,0.0299401,0.0324462,0.00151018,-3.03017e-06,-0.000149723,-1.01276e-05,1,4,NOVE,Casa
0.379672,0.030866,0.0297111,0.00120905,-5.37659e-06,-0.000178758,-4.85835e-06,1,4,NOVE,Casa
0.393619,0.0306077,0.0321221,0.00124779,-6.15671e-06,-0.000187571,-4.94993e-06,1,4,NOVE,Casa
0.401882,0.0378811,0.0316402,0.00142244,-3.45551e-06,-0.000210593,-8.89502e-06,1,4,NOVE,Casa
0.384856,0.0189992,0.0301567,0.000894939,-2.43623e-06,-9.04438e-05,3.95983e-06,1,4,NOVE,Casa
0.392305,0.0367757,0.028149,0.00128182,-3.97266e-06,-0.000172589,-6.59568e-06,1,4,NOVE,Casa
0.256171,0.026279,4.41283e-06,0.000428254,-1.04218e-08,5.72605e-05,-1.54266e-08,2,5,SEIS,P
0.249145,0.0214704,0.000185491,0.000339271,1.59823e-09,2.95056e-05,-8.50951e-08,3,4,SEIS,P
0.273998,0.0242408,0.00266543,0.000415012,-3.50426e-07,-3.65174e-05,2.60241e-07,1,4,SEIS,P
0.249342,0.0220662,8.58144e-05,0.00048851,3.13314e-08,5.23468e-05,-9.4987e-08,2,4,SEIS,P
0.262121,0.0265478,0.000166129,0.000459626,8.49082e-09,4.99526e-05,-1.26724e-07,3,4,SEIS,P
0.243761,0.0218764,1.01242e-05,0.000400371,1.27922e-08,4.79904e-05,-2.2048e-08,1,4,SEIS,P
0.252393,0.0229949,0.000217435,0.000412121,9.96552e-08,3.05487e-05,-7.27215e-08,4,6,SEIS,P
0.257082,0.0255121,5.00644e-05,0.000447912,5.09739e-08,4.8895e-05,-4.35954e-08,1,4,SEIS,P
0.246126,0.0222503,9.14901e-06,0.000454999,1.16711e-08,5.51212e-05,-2.69367e-08,1,4,SEIS,P
0.266502,0.0219729,0.00227007,0.000516489,-6.70037e-09,1.73793e-05,5.59216e-07,2,5,SEIS,P
