@relation testeZeroA

@attribute hu0 numeric
@attribute hu1 numeric
@attribute hu2 numeric
@attribute hu3 numeric
@attribute hu4 numeric
@attribute hu5 numeric
@attribute hu6 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}


@data
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.165926,0,0,0,0,0,0,0,0,?,?
17.4327,276.548,5908.7,5338.37,2.99817e+07,88500.1,95027.9,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.165926,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.165926,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.166319,0.000115861,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.166319,0.000115861,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.165926,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.165926,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0,0,0,0,0,0,0,0,0,?,?
0.322157,0.0732377,0.00309285,0.000345441,-9.31595e-08,-4.71507e-05,3.44692e-07,1,1,?,?
0.219321,0.0186906,0.00161815,0.000324713,2.134e-07,3.15258e-05,-9.93036e-08,1,1,?,?
0.237674,0.0278143,0.000736459,0.000132223,3.41932e-08,1.49941e-05,-2.30922e-08,1,2,?,?
0.239543,0.0229275,8.70205e-05,2.22046e-05,-8.96325e-10,-9.59134e-07,-3.86385e-10,2,2,?,?
0.237163,0.0095169,0.0019749,6.92537e-05,-3.77516e-09,-2.69501e-06,-2.53319e-08,2,2,?,?
0.236028,0.00451065,0.00392061,0.000150172,-1.12758e-07,5.00744e-06,-2.373e-08,4,2,?,?
0.238109,0.00184316,0.00711549,0.00011349,2.33973e-08,-5.04079e-07,-9.92659e-08,2,3,?,?
0.237727,0.00106597,0.00852563,9.84456e-05,8.28452e-08,-2.48471e-06,3.56496e-08,4,3,?,?
0.223551,0.000636724,0.00662469,2.41421e-05,9.6382e-09,-2.11851e-07,-5.66542e-10,2,3,?,?
0.244813,0.000786716,0.00891755,7.63549e-05,4.33584e-08,-1.89702e-06,4.57136e-08,2,3,?,?
0.248667,0.000544723,0.00884151,0.000102583,9.76744e-08,-1.62052e-06,-2.0214e-09,2,3,?,?
0.256692,0.000514144,0.00976684,0.000172596,2.11104e-07,-3.14696e-06,-7.51764e-08,2,3,?,?
0.271253,0.000525708,0.0119369,0.000321499,6.27759e-07,-6.39668e-06,-5.08927e-08,5,5,?,?
0.257712,0.000347363,0.00976039,9.7733e-05,9.53186e-08,-1.77491e-06,-5.08644e-09,5,6,?,?
0.230159,0.000185747,0.00652317,1.59129e-05,-1.41323e-10,-1.01405e-07,-5.12495e-09,4,5,?,?
0.216007,0.00118778,0.00421266,2.88347e-05,8.62659e-09,2.19943e-07,-5.15537e-09,7,3,?,?
0.203263,0.0015355,0.00327598,3.88453e-05,6.53026e-09,-2.14896e-07,-1.22221e-08,6,4,?,?
0.203195,0.000782425,0.00437594,9.3798e-05,5.0379e-08,5.20623e-07,-3.27593e-08,10,3,?,?
0.217868,0.00104693,0.00511341,5.61834e-05,3.00823e-08,1.28328e-06,-1.37952e-09,7,5,?,?
0.238094,0.00110995,0.00656803,2.93485e-05,-5.63054e-09,6.83212e-07,1.15901e-08,3,4,?,?
0.235602,0.00105523,0.00648878,2.82512e-05,-6.99238e-10,7.65108e-07,1.20756e-08,2,3,?,?
0.250172,0.00132087,0.0077271,3.31089e-05,-1.1407e-08,5.94925e-07,1.22608e-08,3,16,?,?
0.242299,0.00188119,0.00715821,0.000123635,9.49441e-08,5.34918e-06,6.71813e-08,5,3,?,?
0.239841,0.00149018,0.00667355,7.52621e-05,2.26025e-09,2.49921e-06,5.32908e-08,10,4,?,?
0.244481,0.00151865,0.00718947,3.03933e-05,-1.08509e-10,1.05831e-06,1.4207e-08,3,2,?,?
0.302714,0.00159163,0.0164616,0.000270013,5.67201e-07,-9.43911e-06,4.84156e-08,3,5,?,?
0.3153,0.00708619,0.0151968,0.000955788,2.79589e-06,-6.43481e-05,2.33495e-06,3,4,?,?
0.291992,0.0272318,0.00343845,0.00025821,-1.18519e-07,-1.74586e-05,2.1248e-07,2,4,?,?
0.283069,0.0359644,0.00203987,3.88211e-05,7.25008e-09,7.33833e-06,-8.17204e-09,1,3,?,?
0.275053,0.0307341,0.0020153,1.12605e-05,8.19926e-10,1.95866e-06,-1.485e-09,1,3,?,?
0.270353,0.0285168,0.00178094,1.7226e-06,-6.08839e-11,1.90017e-07,-7.34606e-11,1,3,?,?
0.270787,0.0283316,0.00170363,1.0895e-06,-1.39946e-11,-1.1884e-07,4.48037e-11,1,3,?,?
0.26913,0.0281856,0.001582,3.29356e-06,-2.35635e-10,1.07209e-07,-3.1557e-11,1,3,?,?
0.271854,0.029995,0.00147083,8.02491e-06,-6.44274e-10,7.3553e-07,-5.87396e-10,1,3,?,?
0.271723,0.0298455,0.00144925,7.05984e-06,-6.43304e-10,4.35183e-07,-3.10017e-10,1,3,?,?
0.272295,0.029198,0.00155761,5.68441e-06,-5.18166e-10,-9.52562e-08,1.32671e-10,1,3,?,?
0.274048,0.0299516,0.00164914,5.69324e-06,-5.24053e-10,2.67696e-07,-1.72312e-10,1,3,?,?
0.276324,0.0303993,0.00173076,4.85461e-06,-4.44209e-10,2.49376e-08,2.63497e-11,1,3,?,?
0.276347,0.0303893,0.00174456,5.54837e-06,-5.38315e-10,1.74945e-07,-9.05131e-11,1,3,?,?
0.276169,0.0303245,0.0017201,6.69991e-06,-7.12899e-10,1.72661e-07,-9.53862e-11,1,3,?,?
0.276659,0.0306344,0.00170311,7.49673e-06,-8.23842e-10,2.72837e-07,-1.97086e-10,1,3,?,?
0.277372,0.0312152,0.00169223,8.88631e-06,-8.98952e-10,6.78693e-07,-6.15919e-10,1,3,?,?
0.276858,0.0309835,0.00167491,8.42943e-06,-8.91211e-10,5.3544e-07,-4.571e-10,1,3,?,?
0.277016,0.0302914,0.00174479,4.64706e-06,-3.65952e-10,-2.03693e-07,2.02917e-10,1,3,?,?
0.276361,0.0295206,0.00183768,4.05268e-06,-2.24604e-10,-3.27855e-07,2.68091e-10,1,3,?,?
0.276192,0.0286452,0.00197488,2.72139e-06,8.30891e-11,-4.32446e-07,1.81381e-10,1,3,?,?
0.274554,0.0273226,0.0020055,3.765e-06,1.56839e-10,-2.88778e-07,-2.87114e-10,1,3,?,?
0.273995,0.0264033,0.00204339,8.08264e-06,-2.23561e-10,-3.36355e-08,-1.01439e-09,1,3,?,?
0.273509,0.0256016,0.00213679,1.16167e-05,-1.27528e-09,5.87989e-07,-1.31278e-09,1,3,?,?
0.275116,0.0259278,0.00223492,1.21479e-05,-1.59862e-09,7.98078e-07,-1.20455e-09,1,3,?,?
0.275324,0.0259808,0.0022441,1.17987e-05,-1.44771e-09,6.99219e-07,-1.26096e-09,1,3,?,?
0.275783,0.026273,0.00223362,1.1177e-05,-1.20249e-09,5.58566e-07,-1.29337e-09,1,3,?,?
0.275823,0.0264648,0.00221729,9.0024e-06,-6.6319e-10,2.72097e-07,-1.0853e-09,1,3,?,?
0.276571,0.0270029,0.00215462,8.9928e-06,-6.01477e-10,2.36755e-07,-1.0978e-09,1,3,?,?
0.277173,0.0272245,0.00220165,7.31211e-06,-1.99697e-10,-2.52243e-08,-9.06019e-10,1,3,?,?
0.277623,0.0275765,0.00219918,5.6803e-06,4.23075e-11,-1.87296e-07,-6.33462e-10,1,3,?,?
0.278092,0.0280273,0.00210412,6.24124e-06,8.36556e-11,-2.38431e-07,-7.10313e-10,1,3,?,?
0.27706,0.0276771,0.00203522,7.96819e-06,-2.00098e-10,-4.26749e-08,-9.94793e-10,1,3,?,?
0.276582,0.0274954,0.00203645,7.01028e-06,-3.87859e-11,-1.54096e-07,-8.36707e-10,1,3,?,?
0.277752,0.0279166,0.00203975,7.53592e-06,-1.60386e-11,-1.86629e-07,-9.34177e-10,1,3,?,?
0.277693,0.0278484,0.0020426,7.84721e-06,-8.19411e-11,-1.39413e-07,-9.90108e-10,1,3,?,?
0.277632,0.027812,0.00205072,7.19152e-06,3.11219e-11,-2.18866e-07,-8.72787e-10,1,3,?,?
0.277302,0.0277687,0.00202457,7.69911e-06,-4.92781e-11,-1.60342e-07,-9.59967e-10,1,3,?,?
