@relation out321608libraC

@attribute hog0 numeric
@attribute hog1 numeric
@attribute hog2 numeric
@attribute hog3 numeric
@attribute hog4 numeric
@attribute hog5 numeric
@attribute hog6 numeric
@attribute hog7 numeric
@attribute hog8 numeric
@attribute hog9 numeric
@attribute hog10 numeric
@attribute hog11 numeric
@attribute hog12 numeric
@attribute hog13 numeric
@attribute hog14 numeric
@attribute hog15 numeric
@attribute hog16 numeric
@attribute hog17 numeric
@attribute hog18 numeric
@attribute hog19 numeric
@attribute hog20 numeric
@attribute hog21 numeric
@attribute hog22 numeric
@attribute hog23 numeric
@attribute hog24 numeric
@attribute hog25 numeric
@attribute hog26 numeric
@attribute hog27 numeric
@attribute hog28 numeric
@attribute hog29 numeric
@attribute hog30 numeric
@attribute hog31 numeric
@attribute hog32 numeric
@attribute hog33 numeric
@attribute hog34 numeric
@attribute hog35 numeric
@attribute hog36 numeric
@attribute hog37 numeric
@attribute hog38 numeric
@attribute hog39 numeric
@attribute hog40 numeric
@attribute hog41 numeric
@attribute hog42 numeric
@attribute hog43 numeric
@attribute hog44 numeric
@attribute hog45 numeric
@attribute hog46 numeric
@attribute hog47 numeric
@attribute hog48 numeric
@attribute hog49 numeric
@attribute hog50 numeric
@attribute hog51 numeric
@attribute hog52 numeric
@attribute hog53 numeric
@attribute hog54 numeric
@attribute hog55 numeric
@attribute hog56 numeric
@attribute hog57 numeric
@attribute hog58 numeric
@attribute hog59 numeric
@attribute hog60 numeric
@attribute hog61 numeric
@attribute hog62 numeric
@attribute hog63 numeric
@attribute hog64 numeric
@attribute hog65 numeric
@attribute hog66 numeric
@attribute hog67 numeric
@attribute hog68 numeric
@attribute hog69 numeric
@attribute hog70 numeric
@attribute hog71 numeric
@attribute hog72 numeric
@attribute hog73 numeric
@attribute hog74 numeric
@attribute hog75 numeric
@attribute hog76 numeric
@attribute hog77 numeric
@attribute hog78 numeric
@attribute hog79 numeric
@attribute hog80 numeric
@attribute hog81 numeric
@attribute hog82 numeric
@attribute hog83 numeric
@attribute hog84 numeric
@attribute hog85 numeric
@attribute hog86 numeric
@attribute hog87 numeric
@attribute hog88 numeric
@attribute hog89 numeric
@attribute hog90 numeric
@attribute hog91 numeric
@attribute hog92 numeric
@attribute hog93 numeric
@attribute hog94 numeric
@attribute hog95 numeric
@attribute hog96 numeric
@attribute hog97 numeric
@attribute hog98 numeric
@attribute hog99 numeric
@attribute hog100 numeric
@attribute hog101 numeric
@attribute hog102 numeric
@attribute hog103 numeric
@attribute hog104 numeric
@attribute hog105 numeric
@attribute hog106 numeric
@attribute hog107 numeric
@attribute hog108 numeric
@attribute hog109 numeric
@attribute hog110 numeric
@attribute hog111 numeric
@attribute hog112 numeric
@attribute hog113 numeric
@attribute hog114 numeric
@attribute hog115 numeric
@attribute hog116 numeric
@attribute hog117 numeric
@attribute hog118 numeric
@attribute hog119 numeric
@attribute hog120 numeric
@attribute hog121 numeric
@attribute hog122 numeric
@attribute hog123 numeric
@attribute hog124 numeric
@attribute hog125 numeric
@attribute hog126 numeric
@attribute hog127 numeric
@attribute hog128 numeric
@attribute hog129 numeric
@attribute hog130 numeric
@attribute hog131 numeric
@attribute hog132 numeric
@attribute hog133 numeric
@attribute hog134 numeric
@attribute hog135 numeric
@attribute hog136 numeric
@attribute hog137 numeric
@attribute hog138 numeric
@attribute hog139 numeric
@attribute hog140 numeric
@attribute hog141 numeric
@attribute hog142 numeric
@attribute hog143 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}

@data
0.252637,0.261413,0.151588,0.0685614,0.0366439,0.0326084,0.0424832,0.033471,0.215277,0.261413,0.261413,0.127722,0.0520563,0.0203902,0.0145163,0.024995,0.092134,0.261413,0.261413,0.261413,0.2358,0.184695,0.0380572,0.0213178,0.0363938,0.0337621,0.21636,0.261413,0.261413,0.16346,0.105306,0.0325876,0.0577738,0.110685,0.122719,0.261413,0.151902,0.0459363,0.020885,0.0138171,0.0183523,0.0301249,0.224522,0.271366,0.271366,0.106508,0.0181743,0.00296086,0.00129027,0.0437482,0.0852291,0.271366,0.271366,0.271366,0.106738,0.0445776,0.022366,0.0409868,0.0631612,0.0874055,0.271366,0.271366,0.271366,0.0509135,0.0110261,0.00976528,0.033365,0.0391886,0.237225,0.271366,0.271366,0.271366,0.12783,0.0827262,0.0819094,0.0750177,0.0814179,0.199116,0.173681,0.182793,0.179852,0.218632,0.171517,0.18272,0.111397,0.0664085,0.133568,0.186386,0.220659,0.223751,0.210261,0.169094,0.0812545,0.0244322,0.0818084,0.16084,0.219354,0.223751,0.196709,0.223751,0.215145,0.194459,0.0374607,0.0865048,0.137396,0.172581,0.223751,0.223751,0.171764,0.240026,0.240026,0.240026,0.144958,0.112968,0.0437017,0.0251336,0.0958812,0.137539,0.240026,0.240026,0.240026,0.218426,0.106268,0.0560199,0.0104605,0.101621,0.233412,0.240026,0.240026,0.22042,0.127814,0.0276614,0.0328875,0.0609724,0.135168,0.133667,0.240026,0.240026,0.240026,0.169956,0.0413775,0.0321872,0.00997326,0.0672237,0,0,?,?
0.247484,0.254516,0.127196,0.0726989,0.0524268,0.0311582,0.0389469,0.0623875,0.173753,0.254516,0.254516,0.161433,0.0707009,0.0171728,0.0353596,0.04293,0.145166,0.254516,0.254516,0.254516,0.254516,0.129568,0.0629177,0.0141894,0.0124539,0.0571767,0.184299,0.254516,0.254516,0.232383,0.128337,0.0604136,0.0343581,0.0253299,0.194519,0.254516,0.163551,0.0498069,0.0101644,0.00652806,0.0165386,0.0696922,0.240801,0.260419,0.260419,0.114769,0.0120213,0,0.012272,0.0580882,0.156838,0.260419,0.260419,0.210057,0.228843,0.0618952,0.00564487,0.0137902,0.0630521,0.154811,0.260419,0.260419,0.260419,0.124576,0.0192395,0.00586468,0.0166198,0.0828505,0.260419,0.260419,0.260419,0.18367,0.147327,0.107115,0.0892648,0.0920572,0.142607,0.159817,0.20918,0.147299,0.140952,0.226961,0.162282,0.0763913,0.0999952,0.181623,0.188951,0.219755,0.143158,0.213915,0.226961,0.149221,0.104711,0.0711336,0.0754293,0.138424,0.226961,0.209195,0.200826,0.226961,0.226961,0.112905,0.101835,0.0913983,0.123967,0.197324,0.222321,0.226961,0.211276,0.252572,0.252572,0.215251,0.0731889,0.0611615,0.0278168,0.0522648,0.118944,0.134331,0.252572,0.252572,0.252572,0.181045,0.0686852,0.0168512,0.00803308,0.0354961,0.252572,0.252572,0.252572,0.223143,0.0609635,0.00653543,0.00782544,0.016561,0.0749722,0.217075,0.230709,0.252572,0.252572,0.144129,0.0464491,0.000642671,0.014639,0.0409724,0,0,?,?
0.252691,0.244224,0.186576,0.0579815,0.0588485,0.0541811,0.0354251,0.113954,0.152207,0.252691,0.252691,0.174309,0.0460144,0.0528026,0.0631448,0.0562654,0.109119,0.21217,0.252691,0.252691,0.252691,0.136015,0.0925973,0.0567638,0.0123557,0.0806029,0.218976,0.252691,0.252691,0.235482,0.0817469,0.0597919,0.125033,0.0597091,0.109576,0.252691,0.118783,0.0738323,0.0361727,0.00220603,0.0252369,0.0846608,0.185256,0.250553,0.250553,0.0846531,0.051732,0.0520422,0.032337,0.0795755,0.137927,0.250553,0.250553,0.191988,0.196993,0.137631,0.0759326,0.0272186,0.0674975,0.141655,0.250553,0.250553,0.250553,0.16844,0.0899287,0.0628167,0.0644926,0.247076,0.200964,0.250553,0.250553,0.242533,0.109295,0.0385907,0.119641,0.178929,0.133632,0.124527,0.192759,0.167602,0.184027,0.220766,0.187955,0.160125,0.148107,0.148514,0.112122,0.123765,0.148531,0.213333,0.18148,0.166407,0.198922,0.127286,0.152007,0.164145,0.197504,0.180457,0.160448,0.220766,0.220766,0.145356,0.137892,0.159509,0.110673,0.156377,0.210072,0.220766,0.10684,0.251146,0.255803,0.255803,0.119831,0.0756252,0.029886,0.0604307,0.0434201,0.109266,0.18052,0.255803,0.255803,0.197337,0.123789,0.0384425,0.0449958,0.0505863,0.18095,0.255803,0.255803,0.23829,0.126512,0.0212758,0.0395316,0.0584281,0.100105,0.196084,0.255803,0.255803,0.255803,0.156045,0.078254,0.0471535,0.0669747,0.0778706,0,0,?,?
0.220447,0.210895,0.132598,0.0899041,0.0981818,0.0620358,0.084752,0.127721,0.187911,0.255,0.253302,0.152708,0.0568142,0.0314768,0.0166465,0.060858,0.153609,0.255,0.255,0.255,0.150814,0.187456,0.152344,0.0459017,0.0223249,0.0999461,0.255,0.255,0.255,0.197313,0.0906547,0.0520268,0.0222352,0.0627019,0.13773,0.255,0.215845,0.0768763,0.0533794,0.044831,0.0872499,0.15395,0.168913,0.232261,0.218854,0.109846,0.0573111,0.0243206,0.0298308,0.0638198,0.217532,0.254957,0.254957,0.207876,0.181059,0.0635091,0.058015,0.0836185,0.109531,0.197043,0.254957,0.254957,0.254957,0.0470201,0.0154324,0.0185407,0.0267789,0.069473,0.244137,0.254957,0.254957,0.214498,0.149216,0.0859492,0.115638,0.127757,0.151532,0.133594,0.148991,0.120061,0.202409,0.19919,0.15132,0.147061,0.140427,0.191659,0.118566,0.140285,0.218821,0.18963,0.175993,0.0863861,0.0973442,0.0733329,0.155036,0.207168,0.218821,0.174186,0.218821,0.218821,0.205678,0.166643,0.139241,0.123454,0.138777,0.218821,0.218821,0.218821,0.159611,0.256045,0.256045,0.256045,0.134446,0.0529734,0.0150147,0.0155756,0.0595245,0.0597359,0.230224,0.256045,0.256045,0.162928,0.0804944,0.0138861,0.0019795,0.0518027,0.256045,0.256045,0.256045,0.227031,0.124143,0.0168782,0.00615872,0.0157231,0.109071,0.118204,0.256045,0.256045,0.256045,0.153232,0.0722377,0.0124884,0.00648139,0.105629,0,0,?,?
0.256503,0.126989,0.10928,0.0832454,0.0642942,0.0468217,0.0511875,0.114923,0.232337,0.256503,0.174716,0.0995841,0.0389337,0.0523178,0.0360561,0.0502606,0.143933,0.256503,0.256503,0.256503,0.2506,0.140044,0.0574617,0.029716,0.0355527,0.057055,0.249913,0.256503,0.256503,0.2521,0.121655,0.0800547,0.0542093,0.0866335,0.204781,0.256503,0.21019,0.106741,0.0123549,0.0360881,0.0550443,0.100898,0.144924,0.237635,0.237635,0.153418,0.0773469,0.0281554,0.0931412,0.105027,0.162284,0.225864,0.237635,0.237635,0.218114,0.0480934,0.0257188,0.0132612,0.0757981,0.19431,0.237635,0.237635,0.237635,0.160941,0.0181113,0.0179881,0.0776054,0.183889,0.237635,0.237635,0.237635,0.231715,0.204725,0.0999603,0.108182,0.0844604,0.141369,0.204802,0.142136,0.105427,0.224598,0.215961,0.162348,0.118144,0.103998,0.140957,0.189813,0.173802,0.177159,0.224598,0.178111,0.145932,0.14501,0.0472366,0.198838,0.195772,0.157228,0.126656,0.224598,0.224598,0.211704,0.109784,0.0693429,0.16954,0.155082,0.123448,0.204131,0.224598,0.167327,0.189591,0.235897,0.235897,0.159725,0.0768045,0.0496848,0.0475749,0.132089,0.127919,0.198311,0.235897,0.235897,0.235897,0.135605,0.0301174,0.0173911,0.077922,0.235897,0.235897,0.235897,0.20962,0.153576,0.0368856,0.0397923,0.030114,0.116871,0.22202,0.222029,0.235897,0.216647,0.235897,0.0665637,0.0194631,0.00591314,0.0828786,0,0,?,?
0.246613,0.253512,0.156579,0.0837686,0.0401895,0.0164619,0.0467841,0.104814,0.182208,0.253512,0.253512,0.137537,0.0300023,0.0254612,0.0224462,0.0579192,0.136412,0.253512,0.253512,0.253512,0.245515,0.126518,0.0512003,0.00357572,0.0549592,0.0568828,0.22548,0.253512,0.253512,0.253512,0.0622486,0.0374751,0.0294908,0.0850707,0.14778,0.253512,0.12486,0.0541644,0.012376,0.00892099,0.0433099,0.12628,0.215216,0.248571,0.248571,0.0883098,0.0516048,0.026095,0.023336,0.103103,0.248571,0.248571,0.248571,0.248571,0.153107,0.0870142,0.0414808,0.0351997,0.0666048,0.142686,0.248571,0.248571,0.248571,0.0661288,0.041991,0.0303956,0.0603948,0.139955,0.248571,0.248571,0.248571,0.248571,0.132253,0.143174,0.105733,0.118522,0.205346,0.174351,0.12878,0.0910861,0.131481,0.181428,0.223064,0.139633,0.134733,0.114169,0.213845,0.192831,0.178789,0.194752,0.146807,0.223064,0.105317,0.118467,0.191389,0.158308,0.158759,0.170311,0.140748,0.223064,0.223064,0.178181,0.145794,0.0894202,0.149371,0.138443,0.223064,0.223064,0.186814,0.243066,0.243066,0.229592,0.153211,0.121258,0.0408687,0.0988701,0.075843,0.111798,0.213929,0.243066,0.243066,0.243066,0.185202,0.0440299,0.0332699,0.0612893,0.188485,0.243066,0.243066,0.203424,0.10855,0.0502773,0.0263812,0.0816031,0.0728139,0.108843,0.22224,0.243066,0.243066,0.217424,0.0735954,0.0225124,0.049331,0.0524167,0,0,?,?
0.227223,0.211593,0.120213,0.0830384,0.0529445,0.0559411,0.0863782,0.120358,0.225716,0.245688,0.245688,0.132816,0.055311,0.0399383,0.0618477,0.0759909,0.154348,0.245688,0.245688,0.245688,0.245688,0.170734,0.0342553,0.0207181,0.0316502,0.136483,0.220432,0.245688,0.245688,0.104094,0.150823,0.0395056,0.0319013,0.0805813,0.245688,0.245688,0.10489,0.0430427,0.0275593,0.0442327,0.0486814,0.108199,0.253869,0.263627,0.25722,0.090818,0.0182461,0.0379651,0.0357652,0.0773712,0.171449,0.263627,0.263627,0.233411,0.0848454,0.0541836,0.0190275,0.0461161,0.0796896,0.161724,0.263627,0.263627,0.263627,0.0461858,0.0340286,0.024173,0.0593246,0.108701,0.262292,0.263627,0.263627,0.216365,0.158208,0.120675,0.0888065,0.166457,0.189024,0.114617,0.15997,0.143363,0.175845,0.204488,0.154617,0.116736,0.103469,0.145856,0.191777,0.224232,0.140031,0.210117,0.21641,0.224232,0.0682484,0.100109,0.182211,0.168319,0.154425,0.143675,0.224232,0.224232,0.224232,0.152166,0.0802631,0.133868,0.105257,0.144039,0.190309,0.224232,0.103048,0.234848,0.246633,0.246633,0.17199,0.0318007,0.101038,0.0569439,0.0604694,0.0420356,0.246633,0.246633,0.246633,0.205835,0.0972347,0.0653711,0.0190746,0.0203672,0.156414,0.246633,0.246633,0.246633,0.180609,0.0172698,0.0404107,0.0659941,0.108794,0.103973,0.246633,0.246633,0.246633,0.24424,0.044031,0.0509026,0.0552232,0.0553818,0,0,?,?
0.264585,0.184175,0.107234,0.100025,0.0737818,0.0398284,0.0447651,0.0810195,0.194762,0.264585,0.208245,0.130035,0.0662888,0.0256997,0.026379,0.0840004,0.10188,0.264585,0.264585,0.208293,0.221896,0.199348,0.0621353,0.0339595,0.0383275,0.0646006,0.18502,0.264585,0.264585,0.264585,0.165628,0.023321,0.0612716,0.114663,0.150883,0.264585,0.142843,0.0658802,0.017328,0.0240449,0.0473183,0.133365,0.215692,0.247794,0.247794,0.0826148,0.0573112,0.043992,0.0800221,0.0976693,0.247794,0.239667,0.247794,0.247794,0.13245,0.0655257,0.0324245,0.027624,0.0497259,0.165199,0.247794,0.247794,0.247794,0.11148,0.0389412,0.0373204,0.0730631,0.0949465,0.247794,0.247794,0.247794,0.247794,0.116467,0.106092,0.0977317,0.149584,0.182583,0.144945,0.136379,0.136485,0.125652,0.181817,0.218569,0.17442,0.2017,0.218552,0.138669,0.172455,0.157041,0.120212,0.187416,0.177079,0.112454,0.11587,0.183644,0.137975,0.14784,0.146466,0.218569,0.218569,0.218569,0.120717,0.218569,0.175398,0.121765,0.146414,0.19193,0.218569,0.146873,0.235412,0.235412,0.2297,0.180812,0.11116,0.0358668,0.0263434,0.0551492,0.125141,0.235412,0.235412,0.235412,0.232218,0.139762,0.0412924,0.0223795,0.031431,0.230663,0.235412,0.235412,0.172664,0.163306,0.0624444,0.0361478,0.0741369,0.0517108,0.192034,0.235412,0.235412,0.235412,0.235412,0.0601899,0.0601226,0.0439788,0.046998,0,0,?,?
0.257675,0.196551,0.127558,0.0668146,0.0706693,0.0386133,0.0379951,0.080641,0.257675,0.257675,0.202908,0.160588,0.0514406,0.0279033,0.0224244,0.0491683,0.211459,0.257675,0.257675,0.257675,0.208634,0.160447,0.0717783,0.0322385,0.0140283,0.0510343,0.181647,0.257675,0.257675,0.200001,0.096756,0.0236653,0.032943,0.0366318,0.210786,0.257675,0.157697,0.119233,0.0440156,0.0252556,0.0720615,0.15824,0.22596,0.243482,0.223111,0.123466,0.0734186,0.0346109,0.0395652,0.0884521,0.236187,0.243482,0.243482,0.204921,0.154929,0.101763,0.0584805,0.0630389,0.079474,0.149172,0.243482,0.243482,0.243482,0.106745,0.0517711,0.0414632,0.0566486,0.12527,0.243482,0.243482,0.243482,0.239309,0.123122,0.140186,0.168356,0.145872,0.167197,0.141859,0.102683,0.143777,0.156305,0.221166,0.165654,0.194235,0.125693,0.0950756,0.145633,0.173517,0.21827,0.221166,0.221166,0.149937,0.161252,0.118716,0.179528,0.124769,0.0997392,0.126717,0.221166,0.221166,0.174272,0.198581,0.166635,0.101259,0.082835,0.164914,0.221166,0.221166,0.154924,0.247938,0.247938,0.247938,0.187151,0.0739892,0.0894496,0.0475066,0.0735794,0.114392,0.172735,0.247938,0.247938,0.212879,0.110169,0.0659536,0.0461341,0.0918863,0.183873,0.247938,0.247938,0.170398,0.166349,0.0510779,0.0260064,0.0456525,0.0766169,0.133525,0.241461,0.247938,0.240619,0.211109,0.134156,0.0140535,0.0449048,0.0984849,0,0,?,?
0.251846,0.223196,0.131607,0.0812488,0.0573108,0.04306,0.0312047,0.0850482,0.236149,0.251846,0.171171,0.103773,0.0478784,0.0366877,0.0794197,0.0648398,0.177725,0.251846,0.251846,0.251846,0.251846,0.113026,0.0727889,0.0292051,0.0227998,0.0742639,0.241162,0.251846,0.251846,0.180125,0.0884935,0.0551017,0.0531659,0.0728486,0.251846,0.251846,0.129417,0.0941893,0.011225,0.0108857,0.0306987,0.094285,0.24037,0.265487,0.238677,0.116002,0.0622299,0.0174024,0.0421924,0.104954,0.20496,0.265487,0.265487,0.188301,0.185226,0.0344244,0.0143203,0.0156979,0.0432446,0.152349,0.265487,0.265487,0.242658,0.120855,0.01823,0.0412773,0.054959,0.0818437,0.244091,0.265487,0.265487,0.199441,0.123198,0.167011,0.126198,0.141533,0.153455,0.18874,0.0925179,0.100522,0.208331,0.163009,0.210007,0.123353,0.11007,0.136555,0.203596,0.150784,0.169967,0.232432,0.188091,0.150624,0.0823172,0.108342,0.172616,0.172873,0.158382,0.202884,0.232432,0.226701,0.18436,0.110778,0.109385,0.137788,0.126799,0.163204,0.227558,0.232432,0.0942596,0.230091,0.238801,0.238801,0.142105,0.124818,0.0750665,0.0788062,0.119512,0.0839002,0.238801,0.238801,0.238801,0.231772,0.197371,0.0407602,0.0371908,0.0570103,0.169468,0.238801,0.238801,0.238018,0.111093,0.0585752,0.0376329,0.0783796,0.106855,0.128868,0.238801,0.238801,0.238801,0.210433,0.0930517,0.0475372,0.0613408,0.0438562,0,0,?,?
