@relation out321608libraCInv

@attribute hog0 numeric
@attribute hog1 numeric
@attribute hog2 numeric
@attribute hog3 numeric
@attribute hog4 numeric
@attribute hog5 numeric
@attribute hog6 numeric
@attribute hog7 numeric
@attribute hog8 numeric
@attribute hog9 numeric
@attribute hog10 numeric
@attribute hog11 numeric
@attribute hog12 numeric
@attribute hog13 numeric
@attribute hog14 numeric
@attribute hog15 numeric
@attribute hog16 numeric
@attribute hog17 numeric
@attribute hog18 numeric
@attribute hog19 numeric
@attribute hog20 numeric
@attribute hog21 numeric
@attribute hog22 numeric
@attribute hog23 numeric
@attribute hog24 numeric
@attribute hog25 numeric
@attribute hog26 numeric
@attribute hog27 numeric
@attribute hog28 numeric
@attribute hog29 numeric
@attribute hog30 numeric
@attribute hog31 numeric
@attribute hog32 numeric
@attribute hog33 numeric
@attribute hog34 numeric
@attribute hog35 numeric
@attribute hog36 numeric
@attribute hog37 numeric
@attribute hog38 numeric
@attribute hog39 numeric
@attribute hog40 numeric
@attribute hog41 numeric
@attribute hog42 numeric
@attribute hog43 numeric
@attribute hog44 numeric
@attribute hog45 numeric
@attribute hog46 numeric
@attribute hog47 numeric
@attribute hog48 numeric
@attribute hog49 numeric
@attribute hog50 numeric
@attribute hog51 numeric
@attribute hog52 numeric
@attribute hog53 numeric
@attribute hog54 numeric
@attribute hog55 numeric
@attribute hog56 numeric
@attribute hog57 numeric
@attribute hog58 numeric
@attribute hog59 numeric
@attribute hog60 numeric
@attribute hog61 numeric
@attribute hog62 numeric
@attribute hog63 numeric
@attribute hog64 numeric
@attribute hog65 numeric
@attribute hog66 numeric
@attribute hog67 numeric
@attribute hog68 numeric
@attribute hog69 numeric
@attribute hog70 numeric
@attribute hog71 numeric
@attribute hog72 numeric
@attribute hog73 numeric
@attribute hog74 numeric
@attribute hog75 numeric
@attribute hog76 numeric
@attribute hog77 numeric
@attribute hog78 numeric
@attribute hog79 numeric
@attribute hog80 numeric
@attribute hog81 numeric
@attribute hog82 numeric
@attribute hog83 numeric
@attribute hog84 numeric
@attribute hog85 numeric
@attribute hog86 numeric
@attribute hog87 numeric
@attribute hog88 numeric
@attribute hog89 numeric
@attribute hog90 numeric
@attribute hog91 numeric
@attribute hog92 numeric
@attribute hog93 numeric
@attribute hog94 numeric
@attribute hog95 numeric
@attribute hog96 numeric
@attribute hog97 numeric
@attribute hog98 numeric
@attribute hog99 numeric
@attribute hog100 numeric
@attribute hog101 numeric
@attribute hog102 numeric
@attribute hog103 numeric
@attribute hog104 numeric
@attribute hog105 numeric
@attribute hog106 numeric
@attribute hog107 numeric
@attribute hog108 numeric
@attribute hog109 numeric
@attribute hog110 numeric
@attribute hog111 numeric
@attribute hog112 numeric
@attribute hog113 numeric
@attribute hog114 numeric
@attribute hog115 numeric
@attribute hog116 numeric
@attribute hog117 numeric
@attribute hog118 numeric
@attribute hog119 numeric
@attribute hog120 numeric
@attribute hog121 numeric
@attribute hog122 numeric
@attribute hog123 numeric
@attribute hog124 numeric
@attribute hog125 numeric
@attribute hog126 numeric
@attribute hog127 numeric
@attribute hog128 numeric
@attribute hog129 numeric
@attribute hog130 numeric
@attribute hog131 numeric
@attribute hog132 numeric
@attribute hog133 numeric
@attribute hog134 numeric
@attribute hog135 numeric
@attribute hog136 numeric
@attribute hog137 numeric
@attribute hog138 numeric
@attribute hog139 numeric
@attribute hog140 numeric
@attribute hog141 numeric
@attribute hog142 numeric
@attribute hog143 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}

@data
0.237316,0.217016,0.109582,0.0914391,0.0372182,0.0101929,0.041282,0.0835005,0.234958,0.258767,0.258767,0.1077,0.0736319,0.0194304,0.00127736,0.0297934,0.164493,0.258767,0.258767,0.258767,0.258767,0.145475,0.0401145,0.0116764,0.00853729,0.0711971,0.186011,0.258767,0.258767,0.212541,0.0994979,0.0337867,0.0311978,0.0279309,0.199127,0.258767,0.162622,0.0364663,0.0331609,0.019414,0.0272517,0.0554491,0.169403,0.253602,0.253602,0.116987,0.0249492,0.037283,0.0252041,0.0673549,0.138188,0.245977,0.253602,0.250556,0.233057,0.0880745,0.0540051,0.035781,0.0973623,0.120161,0.253602,0.253602,0.253602,0.156333,0.042388,0.0351191,0.0657064,0.213525,0.253602,0.253602,0.253602,0.161425,0.142899,0.115768,0.157489,0.16553,0.116432,0.128536,0.137014,0.202969,0.162006,0.223333,0.19099,0.224057,0.183804,0.0973565,0.0855947,0.184737,0.217043,0.211601,0.224057,0.128278,0.0713741,0.0709131,0.0949591,0.152549,0.114731,0.224057,0.224057,0.224057,0.224057,0.117074,0.119554,0.0850195,0.126033,0.0879472,0.224057,0.224057,0.129408,0.259442,0.259442,0.259442,0.10173,0.0396268,0.0434065,0.021361,0.0558135,0.108986,0.23999,0.259442,0.259442,0.159462,0.0474485,0.0275014,0.0245586,0.0465413,0.243931,0.259442,0.259442,0.132033,0.142231,0.0146576,0.0233681,0.0218941,0.0587457,0.174806,0.259442,0.259442,0.259442,0.223636,0.0220829,0.0147273,0.0373785,0.0705578,0,0,?,?
0.238753,0.263506,0.157633,0.0505811,0.038176,0.0242387,0.0706493,0.108409,0.169394,0.263506,0.263506,0.121915,0.0648171,0.0274887,0.0148651,0.0719349,0.158802,0.263506,0.263506,0.263506,0.223022,0.143209,0.0574791,0.0184056,0.0402975,0.0724689,0.153556,0.263506,0.263506,0.23363,0.100419,0.0485618,0.023409,0.0614635,0.120109,0.263506,0.226516,0.051914,0.0046717,0.0215613,0.0375949,0.058783,0.198532,0.24397,0.24397,0.202601,0.0480282,0.00202092,0.0202206,0.0727748,0.157879,0.22904,0.24397,0.24397,0.224356,0.0828723,0.0546851,0.0398691,0.0710089,0.116002,0.24397,0.24397,0.24397,0.13165,0.0218327,0.0352816,0.0571804,0.141453,0.23348,0.24397,0.24397,0.24397,0.124433,0.0818762,0.10229,0.105948,0.154929,0.116915,0.224282,0.197772,0.163818,0.206298,0.112624,0.151091,0.0585523,0.139976,0.128416,0.209231,0.224282,0.224282,0.208961,0.186431,0.0833273,0.0560501,0.15613,0.134763,0.211131,0.189952,0.224282,0.224282,0.224282,0.187303,0.0440716,0.0855973,0.118922,0.184234,0.180674,0.224282,0.169621,0.255711,0.255711,0.203761,0.149165,0.0839022,0.0251494,0.0363793,0.0848162,0.157523,0.255711,0.255711,0.255711,0.249498,0.0863595,0.0344765,0.0458314,0.0492269,0.206855,0.255711,0.255711,0.174893,0.0956473,0.0112569,0.0235822,0.0309134,0.117099,0.156315,0.255711,0.255711,0.206438,0.179018,0.0284476,0.023219,0.0163687,0.0374304,0,0,?,?
0.278797,0.263936,0.138483,0.0777096,0.0808566,0.0287286,0.0505915,0.106141,0.135491,0.278797,0.278797,0.153396,0.0602025,0.0576614,0.0335692,0.0560409,0.130649,0.237098,0.278797,0.278797,0.184085,0.0696502,0.0869747,0.033462,0.0647965,0.0689224,0.0864772,0.278797,0.278797,0.236967,0.087173,0.0323722,0.0257045,0.0743132,0.119665,0.248016,0.179219,0.0512891,0.0260854,0.0113558,0.0317967,0.111512,0.194781,0.253499,0.253499,0.176039,0.0269579,0.0223291,0.027946,0.0887974,0.200471,0.253499,0.242,0.214962,0.165525,0.0572606,0.0168856,0.0241077,0.0670149,0.156155,0.253499,0.253499,0.253499,0.152051,0.0256405,0.0169208,0.0742281,0.104367,0.253499,0.253499,0.253499,0.213161,0.142674,0.126112,0.102474,0.114122,0.194848,0.126153,0.111465,0.191137,0.18064,0.15106,0.170874,0.181173,0.123916,0.124485,0.119494,0.100702,0.228802,0.228802,0.228802,0.154777,0.103336,0.0945995,0.138534,0.127064,0.228802,0.187722,0.228802,0.228802,0.209058,0.131388,0.115329,0.157051,0.154031,0.123847,0.209132,0.228802,0.237642,0.237642,0.237642,0.233181,0.1127,0.0709208,0.0499009,0.033612,0.0280336,0.181397,0.237642,0.237642,0.237642,0.237642,0.104963,0.0201915,0.00505165,0.0287245,0.237642,0.237642,0.237642,0.237642,0.110196,0.0281344,0.0331574,0.0291669,0.0766348,0.174642,0.237642,0.237642,0.237642,0.16402,0.0598915,0.0206733,0.0244404,0.0502875,0,0,?,?
0.264387,0.264387,0.0770135,0.0250814,0.0278696,0.0511057,0.0567665,0.0750841,0.130973,0.264387,0.264387,0.154849,0.024962,0.0296829,0.0217007,0.0346574,0.109121,0.25372,0.264387,0.264387,0.245565,0.126128,0.0167971,0.0389179,0.0663334,0.0710847,0.196584,0.264387,0.264387,0.264387,0.0906176,0.0105553,0.0313577,0.0456294,0.146497,0.264387,0.186409,0.056523,0.0152016,0.010152,0.0700972,0.0622474,0.134306,0.247344,0.247344,0.152454,0.024211,0.007249,0.0249988,0.106623,0.217972,0.247344,0.247344,0.203641,0.166937,0.057089,0.0582759,0.0395495,0.13361,0.174502,0.219864,0.247344,0.247344,0.104622,0.0208378,0.0436377,0.085544,0.220009,0.247344,0.247344,0.247344,0.234995,0.140182,0.121079,0.111328,0.153513,0.154632,0.206786,0.158641,0.117758,0.107261,0.228258,0.130661,0.124573,0.203626,0.112916,0.159034,0.174906,0.142275,0.228602,0.209808,0.136556,0.0960695,0.170798,0.166202,0.208845,0.202225,0.133006,0.224741,0.228602,0.193009,0.113221,0.144309,0.14837,0.12341,0.173817,0.136642,0.228602,0.0972375,0.255161,0.255161,0.255161,0.0957571,0.0506037,0.0559965,0.0457141,0.0773878,0.0997484,0.213881,0.255161,0.255161,0.135122,0.0705015,0.0575001,0.0270101,0.0187547,0.181001,0.255161,0.255161,0.255161,0.112878,0.0348669,0.011399,0.023108,0.0865101,0.192229,0.255161,0.255161,0.255161,0.247794,0.0717454,0.0286304,0.0457462,0.0654404,0,0,?,?
0.29175,0.29175,0.100204,0.0841194,0.0326656,0.0522226,0.014835,0.0932226,0.164492,0.29175,0.29175,0.0775483,0.0555578,0.0203948,0.00524347,0.0620482,0.128914,0.230672,0.29175,0.29175,0.227853,0.102664,0.0186744,0.0294196,0.0321086,0.0274738,0.140372,0.29175,0.29175,0.185112,0.0765119,0.00994881,0.0255193,0.0742673,0.0609143,0.201946,0.140346,0.0498666,0.00694405,0.0241868,0.0499804,0.0550604,0.204635,0.254046,0.258599,0.124823,0.0283425,0.00729058,0.0589727,0.0691788,0.10868,0.258599,0.258599,0.258599,0.213403,0.0850929,0.0166738,0.0314382,0.0550257,0.181643,0.258599,0.258599,0.258599,0.145462,0.0410575,0.0196059,0.0614787,0.0854454,0.258599,0.258599,0.239195,0.206604,0.154403,0.0539898,0.146089,0.132339,0.124783,0.151105,0.154815,0.191452,0.191341,0.222038,0.102336,0.157552,0.0948833,0.133775,0.224167,0.213194,0.18608,0.224167,0.224167,0.0963509,0.0993344,0.0817484,0.124507,0.107475,0.207212,0.15026,0.224167,0.224167,0.182713,0.133476,0.0437729,0.137779,0.150872,0.222508,0.201651,0.224167,0.117716,0.243269,0.247403,0.247403,0.141137,0.0771029,0.0393192,0.0428979,0.0717103,0.144068,0.233921,0.247403,0.247403,0.206713,0.0705524,0.0342008,0.00541532,0.0189892,0.233598,0.247403,0.247403,0.219045,0.103894,0.0307337,0.0100206,0.0846105,0.116541,0.221736,0.234513,0.247403,0.247403,0.13588,0.112281,0.0322916,0.0350656,0.0552692,0,0,?,?
0.267923,0.258075,0.124161,0.05933,0.0315938,0.0138213,0.0358263,0.0620778,0.134995,0.267923,0.267923,0.129109,0.0192114,0.0293356,0.0119554,0.0438016,0.120913,0.237022,0.267923,0.267923,0.267923,0.105162,0.0115896,0.0141,0.0498927,0.0527126,0.175983,0.267923,0.267923,0.224597,0.100174,0.0129627,0.0109669,0.105447,0.175817,0.267923,0.130041,0.0695288,0.0266214,0.0141004,0.0228504,0.107139,0.25062,0.262547,0.260547,0.154141,0.0478507,0.00820178,0.0238915,0.106289,0.242785,0.262547,0.262547,0.164622,0.0795405,0.0376885,0.0240523,0.0259599,0.0244838,0.178961,0.262547,0.262547,0.262547,0.067262,0.0379177,0.0317729,0.0306677,0.148927,0.262547,0.262547,0.262547,0.126104,0.171563,0.159849,0.150937,0.160243,0.173329,0.117753,0.0952416,0.169385,0.126082,0.141655,0.16757,0.166515,0.119263,0.120774,0.122034,0.226906,0.226906,0.226906,0.19729,0.191278,0.109011,0.0836714,0.16207,0.149732,0.122279,0.192984,0.196122,0.226906,0.221299,0.130316,0.0950771,0.13763,0.07912,0.185173,0.226906,0.226906,0.159055,0.267255,0.267255,0.267255,0.157475,0.0761376,0.0288473,0.0514715,0.0668108,0.0653298,0.202153,0.267255,0.267255,0.229988,0.0709705,0.0396516,0.00757927,0.0401968,0.200107,0.267255,0.267255,0.152116,0.105916,0.0252945,0.00599215,0.0143614,0.057075,0.0879775,0.267255,0.267255,0.267255,0.152182,0.0390576,0.020242,0.0125484,0.0373286,0,0,?,?
0.241874,0.267198,0.141975,0.0380679,0.0681884,0.0475154,0.0411306,0.0583882,0.179376,0.267198,0.267198,0.136166,0.036377,0.0307751,0.0221815,0.0239945,0.104793,0.267198,0.267198,0.267198,0.267198,0.0539786,0.018269,0.00668658,0.0173738,0.0327191,0.150207,0.267198,0.267198,0.267198,0.0656617,0.0253341,0.0113459,0.0307388,0.146906,0.267198,0.167471,0.105854,0.0417374,0.0488204,0.052493,0.0947724,0.163059,0.24286,0.24286,0.123318,0.0821355,0.0375721,0.0744311,0.117721,0.24038,0.218875,0.24286,0.242856,0.168812,0.0952799,0.0395159,0.0482019,0.0469352,0.218765,0.24286,0.24286,0.24286,0.121642,0.047342,0.0255056,0.0798546,0.109222,0.24286,0.24286,0.24286,0.223817,0.169831,0.125596,0.106644,0.12085,0.19108,0.153322,0.144768,0.115668,0.155004,0.230416,0.168365,0.109047,0.166742,0.212515,0.146866,0.142932,0.210899,0.230416,0.227677,0.185063,0.0800707,0.0716533,0.135963,0.0787035,0.0971811,0.202551,0.230416,0.230416,0.230416,0.136045,0.0926594,0.103102,0.057426,0.153601,0.230416,0.230416,0.134355,0.250275,0.250275,0.250275,0.149512,0.0407995,0.0222178,0.0257096,0.0453561,0.0830689,0.234677,0.250275,0.250275,0.250275,0.0601902,0.0153286,0.0217824,0.0280709,0.23287,0.250275,0.250275,0.147167,0.129829,0.0506322,0.0100885,0.0187615,0.048497,0.168942,0.250275,0.250275,0.250275,0.250275,0.0513022,0.0206187,0.0553494,0.0264402,0,0,?,?
0.222228,0.230319,0.192265,0.0688419,0.0291531,0.0631833,0.0355488,0.0438217,0.270256,0.270256,0.246594,0.100545,0.0481949,0.0281151,0.0289917,0.0340886,0.0990451,0.270256,0.270256,0.270256,0.256149,0.139707,0.0245213,0.0320332,0.032395,0.0247379,0.169094,0.270256,0.270256,0.15765,0.13733,0.032706,0.0326134,0.0519271,0.0971115,0.270256,0.169035,0.0638203,0.00751139,0.0436736,0.0449182,0.0599079,0.200319,0.252449,0.252449,0.134879,0.0285935,0.0214606,0.063858,0.0903823,0.165121,0.252449,0.252449,0.187186,0.184801,0.0408372,0.00955083,0.0715353,0.119445,0.187711,0.217235,0.252449,0.252449,0.0915469,0.0164144,0.00685198,0.111737,0.187173,0.252449,0.252449,0.252449,0.235794,0.135952,0.137318,0.175095,0.1313,0.168267,0.152741,0.137829,0.135888,0.168486,0.238901,0.170476,0.115437,0.150205,0.136333,0.168858,0.148257,0.204829,0.238901,0.214893,0.22903,0.169872,0.102,0.151029,0.0834219,0.104375,0.124118,0.238901,0.238901,0.238901,0.16583,0.0864395,0.112926,0.110264,0.0700419,0.133059,0.238901,0.195967,0.21673,0.239553,0.239553,0.148736,0.0578376,0.0486811,0.0545689,0.0789033,0.142288,0.225959,0.239553,0.239553,0.224665,0.118909,0.0287205,0.036969,0.0348929,0.239553,0.239553,0.239553,0.211119,0.111208,0.0152711,0.00817645,0.0244865,0.0999583,0.188806,0.239553,0.239553,0.239553,0.233277,0.0511456,0.00702462,0.0216834,0.0312782,0,0,?,?
0.258031,0.236777,0.0988838,0.0566904,0.0389907,0.0154085,0.0523875,0.0983362,0.221304,0.258031,0.258031,0.101905,0.0227555,0.0481854,0.0216277,0.0441867,0.192014,0.258031,0.258031,0.258031,0.164825,0.188999,0.0729786,0.019155,0.0276131,0.037486,0.200573,0.258031,0.258031,0.168755,0.127594,0.0775817,0.0466721,0.0524519,0.216334,0.258031,0.105766,0.020562,0.029104,0.00528279,0.0496798,0.071315,0.252832,0.260557,0.260557,0.0532614,0.0346978,0.0182949,0.00648495,0.0942967,0.177998,0.260557,0.260557,0.233525,0.122783,0.0319411,0.0411726,0.024992,0.0692762,0.161229,0.260557,0.260557,0.260557,0.0374473,0.00843773,0.00566658,0.0457783,0.171826,0.260557,0.260557,0.260557,0.229505,0.0928036,0.125729,0.188309,0.163241,0.127609,0.135803,0.168463,0.132176,0.149262,0.135302,0.143408,0.1903,0.142198,0.103943,0.15978,0.213783,0.213702,0.215557,0.191623,0.204909,0.170212,0.104832,0.146393,0.0981748,0.126469,0.148893,0.207847,0.215557,0.208366,0.215557,0.127511,0.0974787,0.159003,0.166717,0.215024,0.215557,0.152746,0.24594,0.221639,0.24594,0.148781,0.102177,0.0194787,0.0485503,0.105359,0.107214,0.24594,0.24594,0.24594,0.23221,0.0829597,0.02286,0.0137458,0.0375244,0.245285,0.24594,0.190212,0.24594,0.123307,0.0325194,0.0142531,0.0407352,0.0790596,0.205082,0.24594,0.20594,0.24594,0.206351,0.0791069,0.0285514,0.0272063,0.0655243,0,0,?,?
0.266531,0.203176,0.111914,0.0531263,0.0566904,0.0368932,0.00990315,0.132843,0.262626,0.266531,0.215953,0.0894099,0.0396095,0.0422461,0.0107619,0.0697381,0.182156,0.266531,0.266531,0.266531,0.266531,0.0955851,0.0257666,0.0405584,0.0106338,0.0503,0.199139,0.266531,0.266531,0.206147,0.0653543,0.0146989,0.00459504,0.0340315,0.109607,0.266531,0.151387,0.0479936,0.0287199,0.000534407,0.0113495,0.0689097,0.206643,0.258683,0.258683,0.15393,0.0333668,0.0286086,0.0187913,0.0770643,0.153485,0.258683,0.258683,0.226347,0.114928,0.0800104,0.0347875,0.0213304,0.0625211,0.175596,0.258683,0.258683,0.258683,0.0814715,0.0159916,0.0247128,0.0498462,0.150652,0.243325,0.258683,0.258683,0.258683,0.122745,0.144868,0.134552,0.185956,0.130813,0.112901,0.103863,0.198328,0.192561,0.214366,0.221866,0.163952,0.117422,0.0880729,0.162666,0.163657,0.155537,0.225385,0.225385,0.119117,0.119727,0.141761,0.136567,0.128808,0.125953,0.163894,0.225385,0.225385,0.225385,0.221317,0.0955184,0.0670438,0.106673,0.178348,0.18371,0.225385,0.158634,0.237101,0.237101,0.237101,0.201987,0.107706,0.0461766,0.0654557,0.0899729,0.136276,0.205343,0.237101,0.237101,0.226097,0.104267,0.0295765,0.0153709,0.0364734,0.237101,0.237101,0.237101,0.237101,0.13511,0.0466954,0.0112189,0.0305764,0.0710951,0.186238,0.237101,0.237101,0.237101,0.177163,0.0868316,0.0395614,0.0311995,0.0555287,0,0,?,?
