@relation testeZeroA

@attribute hog0 numeric
@attribute hog1 numeric
@attribute hog2 numeric
@attribute hog3 numeric
@attribute hog4 numeric
@attribute hog5 numeric
@attribute hog6 numeric
@attribute hog7 numeric
@attribute hog8 numeric
@attribute hog9 numeric
@attribute hog10 numeric
@attribute hog11 numeric
@attribute hog12 numeric
@attribute hog13 numeric
@attribute hog14 numeric
@attribute hog15 numeric
@attribute hog16 numeric
@attribute hog17 numeric
@attribute hog18 numeric
@attribute hog19 numeric
@attribute hog20 numeric
@attribute hog21 numeric
@attribute hog22 numeric
@attribute hog23 numeric
@attribute hog24 numeric
@attribute hog25 numeric
@attribute hog26 numeric
@attribute hog27 numeric
@attribute hog28 numeric
@attribute hog29 numeric
@attribute hog30 numeric
@attribute hog31 numeric
@attribute hog32 numeric
@attribute hog33 numeric
@attribute hog34 numeric
@attribute hog35 numeric
@attribute hog36 numeric
@attribute hog37 numeric
@attribute hog38 numeric
@attribute hog39 numeric
@attribute hog40 numeric
@attribute hog41 numeric
@attribute hog42 numeric
@attribute hog43 numeric
@attribute hog44 numeric
@attribute hog45 numeric
@attribute hog46 numeric
@attribute hog47 numeric
@attribute hog48 numeric
@attribute hog49 numeric
@attribute hog50 numeric
@attribute hog51 numeric
@attribute hog52 numeric
@attribute hog53 numeric
@attribute hog54 numeric
@attribute hog55 numeric
@attribute hog56 numeric
@attribute hog57 numeric
@attribute hog58 numeric
@attribute hog59 numeric
@attribute hog60 numeric
@attribute hog61 numeric
@attribute hog62 numeric
@attribute hog63 numeric
@attribute hog64 numeric
@attribute hog65 numeric
@attribute hog66 numeric
@attribute hog67 numeric
@attribute hog68 numeric
@attribute hog69 numeric
@attribute hog70 numeric
@attribute hog71 numeric
@attribute hog72 numeric
@attribute hog73 numeric
@attribute hog74 numeric
@attribute hog75 numeric
@attribute hog76 numeric
@attribute hog77 numeric
@attribute hog78 numeric
@attribute hog79 numeric
@attribute hog80 numeric
@attribute hog81 numeric
@attribute hog82 numeric
@attribute hog83 numeric
@attribute hog84 numeric
@attribute hog85 numeric
@attribute hog86 numeric
@attribute hog87 numeric
@attribute hog88 numeric
@attribute hog89 numeric
@attribute hog90 numeric
@attribute hog91 numeric
@attribute hog92 numeric
@attribute hog93 numeric
@attribute hog94 numeric
@attribute hog95 numeric
@attribute hog96 numeric
@attribute hog97 numeric
@attribute hog98 numeric
@attribute hog99 numeric
@attribute hog100 numeric
@attribute hog101 numeric
@attribute hog102 numeric
@attribute hog103 numeric
@attribute hog104 numeric
@attribute hog105 numeric
@attribute hog106 numeric
@attribute hog107 numeric
@attribute hog108 numeric
@attribute hog109 numeric
@attribute hog110 numeric
@attribute hog111 numeric
@attribute hog112 numeric
@attribute hog113 numeric
@attribute hog114 numeric
@attribute hog115 numeric
@attribute hog116 numeric
@attribute hog117 numeric
@attribute hog118 numeric
@attribute hog119 numeric
@attribute hog120 numeric
@attribute hog121 numeric
@attribute hog122 numeric
@attribute hog123 numeric
@attribute hog124 numeric
@attribute hog125 numeric
@attribute hog126 numeric
@attribute hog127 numeric
@attribute hog128 numeric
@attribute hog129 numeric
@attribute hog130 numeric
@attribute hog131 numeric
@attribute hog132 numeric
@attribute hog133 numeric
@attribute hog134 numeric
@attribute hog135 numeric
@attribute hog136 numeric
@attribute hog137 numeric
@attribute hog138 numeric
@attribute hog139 numeric
@attribute hog140 numeric
@attribute hog141 numeric
@attribute hog142 numeric
@attribute hog143 numeric
@attribute shp0 numeric
@attribute shp1 numeric
@attribute groups {ZERO,SETE,TRES,QUATRO,NOVE,SEIS,OITO,DEZ,UM,CINCO,DOIS,ONZE}
@attribute label {I,Aviao,Adulto,O,Casa,P,Pedra,E,DOIS,Verbo,Identidade,L,W,QUATRO,Junto,Y,U,UM,C,T,N,V,Lei,S,D,A,B,Gasolina,Palavra,Pequeno,G,SETE,F,X,CINCO,America,NOVE,Q,M,R}


@data
0.0543601,0.209345,0.186622,0.0406776,0.0633086,0.00487888,0.00946018,0.00885606,0.0236592,0.265243,0.265243,0.168018,0.0348813,0.0734012,0.0252495,0.0713254,0.162738,0.109239,0.063719,0.257097,0.265243,0.252332,0.265243,0.0306862,0.0177178,0.0370179,0.0351399,0.159576,0.265243,0.265243,0.265243,0.265243,0.133312,0.146997,0.225759,0.118398,0.344429,0.0333777,0.043498,0.0202321,0.0187106,0.0463503,0.058837,0.095474,0.344429,0.344429,0.224067,0.0617747,0.0495492,0.0204758,0.048993,0.0521793,0.0548794,0.344429,0.275902,0.0986053,0.0612705,0.0719009,0.0563581,0.104141,0.0762637,0.0582594,0.241114,0.344429,0.3169,0.0605124,0.059763,0.0250357,0.0551713,0.080619,0.0537317,0.15175,0.0924645,0.241904,0.148783,0.176193,207,0.248452,0.239027,0.248452,0.0671695,0.248452,0.248452,0.248452,0.182107,0.148553,0.0936424,0.0515899,0.10311,0.133373,0.203157,0.248452,0.0686005,0.0857931,0.0604096,0.138389,0.121672,0.147663,0.134881,0.248452,0.248452,0.118104,0.0203526,0.0175669,0.0301509,0.0355222,0.0647661,0.178573,0.142004,0.284918,0.284918,0.121715,0.227069,0.114016,0.0837338,0.0720497,0.0828231,0.284918,0.284918,0.0756902,0.0786609,0.184006,0.105314,0.0767898,0.0982215,0.185841,0.133356,0.103621,0.0433933,0.0301292,0.0811618,0.080381,0.146099,0.233212,0.278566,0.284918,0.253426,0.00198848,0.0105236,0.0383787,0.045389,0.0600781,0.123937,0.284918,1,2,?,?
0.0992264,0.25362,0.25362,0.188908,0.0965779,0.0371663,0.0364328,0.0627483,0.0484663,0.246178,0.25362,0.13072,0.143885,0.181011,0.106467,0.127441,0.24756,0.126317,0.0959486,0.201915,0.25362,0.25362,0.236472,0.0802273,0.0549976,0.0515779,0.0347935,0.0765897,0.120324,0.242802,0.25362,0.25362,0.144891,0.0941871,0.129879,0.0460072,0.301097,0.115042,0.0289065,0.0295206,0.082265,0.0431084,0.0581858,0.141893,0.301097,0.301097,0.29293,0.0959572,0.0349509,0.0482692,0.0356445,0.0478297,0.104399,0.301097,0.301097,0.301097,0.16419,0.0555468,0.0909169,0.0285759,0.0372241,0.0425046,0.103098,0.301097,0.301097,0.0627865,0.0266156,0.0371883,0.02304,0.0496097,0.0682322,0.212077,0.303306,0.303306,0.159391,0.0640315,0.127549,0.104225,0.252202,0.297546,0.160584,0.303306,0.303306,0.247798,0.0400396,0.0467807,0.0327216,0.0302052,0.0983681,0.303306,0.303306,0.118424,0.00940322,0.00785098,0.0290788,0.0229087,0.0341428,0.0455761,0.114195,0.259237,0.117691,0.0131701,0.00135008,0.012046,0.0127664,0.0172441,0.0520756,0.131174,0.196871,0.204571,0.182523,0.103642,0.151012,0.182546,0.121058,0.195291,0.218373,0.300605,0.300605,0.0235874,0.0513269,0.0671142,0.0552267,0.0519026,0.0849804,0.2187,0.300605,0.0207143,0.00154841,0.000995776,0.0151629,0.0522313,0.0680784,0.262437,0.300605,0.300605,0.157296,0.00562079,0.000286778,0.00497496,0.00875168,0.016177,0.0638251,0.298845,1,3,?,?
0.0567009,0.193669,0.127022,0.0171447,0.0282508,0.00937383,0.00252921,0.00961237,0.0176397,0.267283,0.267283,0.117366,0.0247067,0.0224582,0.0367469,0.0342353,0.0941778,0.0986781,0.0933391,0.267283,0.267283,0.267283,0.245685,0.052312,0.0171254,0.0298774,0.0326078,0.267283,0.267283,0.267283,0.267283,0.267283,0.218977,0.103995,0.177138,0.155746,0.296638,0.109727,0.0349442,0.0219873,0.0231265,0.0118387,0.0216624,0.198142,0.296638,0.296638,0.293839,0.0409408,0.0594267,0.0184863,0.0108797,0.0112006,0.0623771,0.296638,0.296638,0.110467,0.0449554,0.052359,0.0597248,0.067916,0.0593826,0.151404,0.296638,0.296638,0.266225,0.0593574,0.0405482,0.0185059,0.0345411,0.0501891,0.10591,0.296638,0.200894,0.156605,0.190527,0.148036,0.212329,0.251839,0.211092,0.139647,0.0919044,0.251839,0.251839,0.251839,0.221233,0.0904815,0.0945552,0.070945,0.0447396,0.195672,0.251839,0.192111,0.0751448,0.0201215,0.102317,0.158489,0.131817,0.0934357,0.153141,0.251839,0.251839,0.059748,0.00597968,0.0190759,0.0438245,0.0528909,0.0621801,0.246541,0.317869,0.317869,0.214405,0.0387359,0.00725922,0.0995253,0.0802017,0.058226,0.157533,0.317869,0.317869,0.0458685,0.000745999,0.000342021,0.00851548,0.0103323,0.0170238,0.140895,0.317869,0.234898,0.0353392,0.00587082,0.00838569,0.0839215,0.103042,0.13864,0.269888,0.317869,0.317869,0.0350669,0,0.0015671,0.00377838,0.0088061,0.010051,0.0858526,1,3,?,?
0.0772428,0.257025,0.257025,0.187279,0.0619037,0.0158356,0.0118355,0.029975,0.0281943,0.257025,0.257025,0.242804,0.183671,0.154371,0.078988,0.0975536,0.111345,0.131067,0.0567318,0.257025,0.257025,0.257025,0.160506,0.0646161,0.0229211,0.0561352,0.0190128,0.0876766,0.257025,0.257025,0.257025,0.257025,0.0847908,0.0649843,0.069418,0.0288287,0.320482,0.0980637,0.0552586,0.0453647,0.0291099,0.0278592,0.0593869,0.320482,0.320482,0.320482,0.0758632,0.0475206,0.0353245,0.0103693,0.0182775,0.0447486,0.164067,0.320482,0.234703,0.11376,0.0973723,0.0571137,0.0706896,0.0518425,0.0770009,0.13393,0.263585,0.320482,0.168109,0.0936482,0.050885,0.0150579,0.0320475,0.068194,0.125621,0.280966,0.410195,0.0402875,0.0552197,0.0760103,0.131163,0.226332,0.162903,0.155514,0.410195,0.410195,0.134999,0.0672718,0.0315109,0.0366388,0.0609701,0.0943053,0.164864,0.410195,0.171663,0.00808991,0.000171195,0.00529993,0.0157562,0.0216951,0.0187239,0.0298433,0.102843,0.16343,0.0101871,0.000741846,0.00241145,0.0157494,0.0196667,0.0457287,0.0772017,0.225343,0.349772,0.18016,0.0508674,0.00340231,0.0603612,0.0912712,0.0581838,0.118724,0.32746,0.349772,0.349772,0.000218686,0.000102569,0,0.00500088,0.00481309,0.0244758,0.172359,0.349772,0.0317974,0.00484642,0.0028688,0.0129087,0.0135548,0.0174124,0.0623161,0.349772,0.349772,0.174817,0.00394037,0.000153227,0.00296829,0.00026715,0.00125155,0.00262601,0.155537,3,2,?,?
0.0458223,0.198776,0.130274,0.0358908,0.0321524,0.00717425,0.00611451,0.0088424,0.0234909,0.261204,0.261204,0.121278,0.0322107,0.0349517,0.022104,0.0655406,0.117598,0.0926864,0.0694549,0.261204,0.261204,0.261204,0.261204,0.0458466,0.0258853,0.023665,0.0456326,0.252166,0.261204,0.261204,0.261204,0.261204,0.182437,0.174446,0.244044,0.11055,0.307344,0.0521569,0.0115902,0.0106881,0.031936,0.0206612,0.0455423,0.145767,0.307344,0.307344,0.295151,0.0879969,0.0309853,0.0380762,0.026105,0.0253185,0.0600734,0.307344,0.299174,0.0970455,0.033849,0.0536924,0.109849,0.0437366,0.0739175,0.135341,0.307213,0.307344,0.261397,0.0636498,0.0194128,0.060582,0.0632989,0.0539116,0.102922,0.256253,0.12008,0.186259,0.177907,0.0863978,0.243558,0.2509,0.25023,0.18446,0.0663646,0.2509,0.2509,0.2509,0.206591,0.172841,0.101108,0.0569447,0.0601439,0.0828677,0.2509,0.2509,0.0562885,0.0609262,0.109442,0.130527,0.17818,0.137824,0.146766,0.2509,0.2509,0.0943496,0.0218317,0.0471723,0.0350214,0.0428288,0.0715021,0.144336,0.205581,0.285893,0.285893,0.154931,0.218656,0.0963911,0.068149,0.0632742,0.0577421,0.285893,0.285893,0.0869225,0.111491,0.196364,0.0975638,0.055214,0.0872719,0.156632,0.158139,0.146167,0.0855072,0.0448894,0.131378,0.0912053,0.118292,0.240934,0.225255,0.285893,0.250192,0.0113977,0.0278973,0.0784006,0.0306304,0.0502111,0.12711,0.237756,1,3,?,?
0.0745029,0.258753,0.258753,0.179691,0.0654728,0.025137,0.0235046,0.0249672,0.0389704,0.258753,0.258753,0.217283,0.219268,0.1417,0.0599321,0.125453,0.0957158,0.176674,0.0700456,0.235836,0.258753,0.258753,0.193012,0.0630328,0.0432029,0.0282613,0.0157893,0.091742,0.202816,0.258753,0.258753,0.258753,0.0848239,0.0925326,0.0483121,0.0447334,0.303711,0.0674083,0.028169,0.0466948,0.0302535,0.0263867,0.0437666,0.318977,0.318977,0.318977,0.135557,0.0563624,0.0291105,0.00451934,0.0138563,0.027987,0.17563,0.318977,0.274978,0.132261,0.0640749,0.0322811,0.0580704,0.0369854,0.0536875,0.158961,0.207031,0.318977,0.18705,0.0810388,0.0283666,0.00293569,0.0255895,0.0491648,0.122916,0.309839,0.403007,0.0607823,0.0499143,0.0940915,0.129633,0.224542,0.139144,0.19758,0.403007,0.403007,0.18047,0.0652051,0.0320271,0.0538333,0.0523869,0.106349,0.203061,0.403007,0.158879,0.00800097,0.00953156,0.00743268,0.0142846,0.0170205,0.00927894,0.0185329,0.110998,0.14281,0.00872211,0.0126354,0.00625034,0.0223815,0.0124655,0.0454053,0.0580728,0.210152,0.348924,0.180312,0.0473826,0.00289863,0.0700173,0.0596632,0.0489057,0.0844452,0.348924,0.348924,0.348924,0.000249034,0,0.000405674,0.00178368,0.00412252,0.0108828,0.18597,0.348924,0.0562935,0.00415879,0.00134997,0.0160306,0.00620036,0.0110928,0.0545387,0.348924,0.348924,0.177331,0.0112501,0.00700184,0.00456028,3.90641e-05,0.000133551,0.0105459,0.135895,2,2,?,?
0.0327975,0.123698,0.194032,0.0171336,0.0170238,0.00597966,0.0101169,0.0112659,0.0172036,0.233417,0.275556,0.26834,0.0291701,0.0229983,0.0113512,0.04196,0.0895319,0.153274,0.0338011,0.179373,0.275556,0.227266,0.243533,0.0513842,0.0345603,0.0294988,0.0261951,0.154165,0.275556,0.275556,0.275556,0.275556,0.180344,0.170048,0.198634,0.225595,0.326079,0.130274,0.0241935,0.0191994,0.014543,0.0298902,0.0403655,0.0731136,0.326079,0.326079,0.326079,0.0910212,0.0401048,0.0245366,0.0391527,0.0622147,0.0487215,0.326079,0.280872,0.137799,0.0552913,0.0600462,0.0638443,0.10839,0.0630314,0.0714564,0.191986,0.31091,0.326079,0.0738946,0.031582,0.0328494,0.0786773,0.0632179,0.0480928,0.17747,0.0570182,0.0697772,0.0895626,0.119733,0.248329,0.248329,0.248329,0.160302,0.0550924,0.201576,0.248329,0.248329,0.248329,0.193021,0.161814,0.123531,0.103622,0.0828687,0.168434,0.13841,0.0643273,0.0778178,0.143434,0.183228,0.210261,0.178806,0.0986839,0.248329,0.248329,0.223519,0.0544172,0.0590271,0.0744435,0.125914,0.122263,0.132269,0.178683,0.287301,0.287301,0.110092,0.157457,0.129187,0.0975827,0.0669334,0.0762542,0.287301,0.287301,0.161779,0.0431903,0.137705,0.128754,0.0658511,0.0914677,0.120324,0.167583,0.216741,0.0685176,0.0181454,0.0696355,0.100037,0.161131,0.247697,0.24197,0.287301,0.287301,0.0176104,0.0097899,0.0440327,0.0479097,0.0588582,0.126207,0.202313,1,3,?,?
0.0291185,0.198331,0.175526,0.036574,0.03532,0.012214,0.0095427,0.00352549,0.0161449,0.245355,0.267812,0.209051,0.047249,0.03578,0.0447884,0.06363,0.140078,0.124767,0.0410861,0.265804,0.267812,0.267812,0.214755,0.07088,0.0331018,0.0225222,0.0292734,0.128226,0.267812,0.267812,0.267812,0.267812,0.223188,0.129951,0.22389,0.115332,0.295023,0.0595824,0.00760305,0.0103517,0.0375822,0.00932883,0.0472544,0.295023,0.295023,0.295023,0.295023,0.0570509,0.0362367,0.0312153,0.0156392,0.0269664,0.146682,0.295023,0.29433,0.0951606,0.0385793,0.0692191,0.121654,0.027987,0.0528554,0.151328,0.23831,0.295023,0.295023,0.0574076,0.0195341,0.0588919,0.0251329,0.0448542,0.110252,0.208054,0.146919,0.193117,0.11789,0.123405,0.258035,0.258035,0.258035,0.179636,0.0877164,0.258035,0.258035,0.258035,0.196496,0.154442,0.111673,0.0943794,0.0502021,0.146421,0.246851,0.226381,0.0499342,0.0741228,0.0675376,0.14538,0.134093,0.099686,0.137822,0.258035,0.258035,0.0706998,0.0170309,0.0341925,0.051298,0.0564968,0.0364013,0.150363,0.228074,0.279855,0.279855,0.149698,0.150036,0.11608,0.108184,0.101375,0.0795676,0.279855,0.279855,0.099324,0.087407,0.144059,0.0856065,0.0757599,0.12099,0.179851,0.203651,0.0910895,0.0664459,0.0381116,0.047706,0.107753,0.140748,0.223247,0.279855,0.279855,0.235001,0.010843,0.0186678,0.0273749,0.0437783,0.0540184,0.107163,0.279855,1,2,?,?
0.0848779,0.261706,0.261706,0.195437,0.0650881,0.0171473,0.0203496,0.0246652,0.0381391,0.261706,0.261706,0.206268,0.224941,0.149271,0.0694458,0.0979949,0.100664,0.173626,0.0875553,0.214494,0.261706,0.261706,0.188794,0.0568076,0.0433665,0.0298696,0.0219134,0.113772,0.178317,0.261706,0.261706,0.261706,0.0858422,0.0818728,0.0484294,0.0384843,0.316996,0.0901915,0.0526229,0.0317671,0.0427078,0.0203655,0.0765782,0.316996,0.316996,0.316996,0.11701,0.0718716,0.0157823,0.0105898,0.00983599,0.0258652,0.187542,0.316996,0.282663,0.123908,0.0755859,0.0569454,0.0828399,0.0495784,0.0803157,0.13685,0.200118,0.316996,0.158749,0.0886653,0.0356565,0.0178703,0.0305804,0.0429874,0.0892029,0.307561,0.393576,0.0852637,0.0531119,0.074853,0.122276,0.234785,0.121373,0.246601,0.393576,0.393576,0.171165,0.0588745,0.0341501,0.0345831,0.0456162,0.103176,0.221751,0.393576,0.156971,0.0198577,0.00740918,0.00460573,0.0154562,0.01689,0.0140178,0.0501552,0.101526,0.14212,0.0114188,0.00672707,0.00358223,0.00786974,0.0122528,0.0509562,0.0932731,0.218109,0.34859,0.188273,0.0449994,0.00262045,0.0535066,0.0915953,0.0630548,0.110022,0.308453,0.34859,0.34859,0.00017983,0.000133124,0,0.00250552,0.00798197,0.0165152,0.209481,0.34859,0.0361912,0.00330323,0.000283451,0.0176308,0.0130663,0.0160868,0.0654414,0.34859,0.34859,0.178414,0.0104356,0,0.00316161,0.00026574,0.000163024,0.00835904,0.15775,1,3,?,?
0.137973,0.208057,0.0799618,0.0577134,0.0294531,0.00523463,0.00817211,0.0102851,0.0373843,0.263303,0.229692,0.0584549,0.0439967,0.0309484,0.0417009,0.0529845,0.0658054,0.222494,0.178243,0.263303,0.263303,0.263303,0.144841,0.0247125,0.0242622,0.0308238,0.0642098,0.263303,0.263303,0.249655,0.263303,0.263303,0.192595,0.171974,0.112803,0.22369,0.143793,0.0937448,0.0586683,0.00796116,0.00795126,0.00733936,0.0543656,0.31701,0.326272,0.269535,0.0760561,0.0332587,0.00044647,0.00102996,0.000933141,0.00274176,0.0703669,0.326272,0.205468,0.0530768,0.0524482,0.0292023,0.0372818,0.0477212,0.173002,0.326272,0.326272,0.326272,0.0406931,0.0279267,0.0398785,0.0194088,0.0178273,0.0594703,0.215612,0.326272,0.282699,0.145781,0.233214,0.0765484,0.0886396,0.147801,0.132044,0.0648245,0.282699,0.282699,0.282097,0.271815,0.0686825,0.0315092,0.0134053,0.0266339,0.125445,0.282699,0.282699,0.0248271,0.0241661,0.00357863,0.00918509,0.0420054,0.0282766,0.0461933,0.282699,0.282699,0.0840275,0.0175419,0.000992473,0.00553992,0.0170389,0.0370418,0.184737,0.282699,0.291392,0.154417,0.0244849,0.00881152,0.038428,0.0211211,0.0402522,0.125846,0.343145,0.343145,0.0492147,0.00100639,0,0.00111899,0.000849017,0.0129731,0.112889,0.343145,0.343145,0.0535946,0.00769843,0.00995745,0.0318155,0.025389,0.0331973,0.0953657,0.343145,0.343145,0.111705,5.47357e-05,0,0.00202904,0.000114911,0.00172697,0.0285442,0.343145,2,3,?,?
