MLP  2 2 1 
Epoches;Iteracoes;funcao ativacao;Alpha;Taxa Erro;Acurácia
8787;35148;Sigmoid;0.1;0.01;100%
9473;37892;Sigmoid;0.1;0.001;100%
1317;5268;Sigmoid;0.5;0.01;100%
2161;8644;Sigmoid;0.5;0.001;100%
664;2656;Sigmoid;0.9;0.01;100%
1129;4516;Sigmoid;0.9;0.001;100%
500000;2e+06;Sigmoid;2;0.01;75%
500000;2e+06;TanH;2;0.001;50%
1;4;TanH;0.1;0.01;50%
1;4;TanH;0.1;0.001;50%
1;4;TanH;0.5;0.01;50%
1;4;TanH;0.5;0.001;50%
1;4;TanH;0.9;0.01;50%
1;4;TanH;0.9;0.001;50%
1;4;TanH;2;0.01;50%
1;4;TanH;2;0.001;50%
500000;2e+06;Gaussian;0.1;0.01;50%
500000;2e+06;Gaussian;0.1;0.001;50%
500000;2e+06;Gaussian;0.5;0.01;75%
500000;2e+06;Gaussian;0.5;0.001;75%
500000;2e+06;Gaussian;0.9;0.01;75%
19303;77212;Gaussian;0.9;0.001;100%
500000;2e+06;Gaussian;2;0.01;75%
500000;2e+06;Gaussian;2;0.001;50%
3;12;Linear;0.1;0.01;50%
3;12;Linear;0.1;0.001;50%
2;8;Linear;0.5;0.01;50%
2;8;Linear;0.5;0.001;50%
2;8;Linear;0.9;0.01;50%
2;8;Linear;0.9;0.001;50%
2;8;Linear;2;0.01;50%
2;8;Linear;2;0.001;50%
